Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-04-01,1,01INU-115,1509.31,1452.41,56.9,0
2017-04-01,2,01INU-115,1410.36,1355.38,54.98,-.01
2017-04-01,3,01INU-115,987.78,949.62,38.17,-.01
2017-04-01,4,01INU-115,957.33,919.33,38,-.01
2017-04-01,5,01INU-115,942.67,905.06,37.61,0
2017-04-01,6,01INU-115,968.4,929.04,39.36,0
2017-04-01,7,01INU-115,975.32,933.38,41.94,0
2017-04-01,8,01INU-115,1111.67,1064.28,47.4,0
2017-04-01,9,01INU-115,1518.46,1469.82,48.63,0
2017-04-01,10,01INU-115,1822.52,1768.82,53.7,0
2017-04-01,11,01INU-115,1759.12,1713.94,45.18,0
2017-04-01,12,01INU-115,1865.16,1820.14,45.02,0
2017-04-01,13,01INU-115,2300.5,2248.92,51.58,0
2017-04-01,14,01INU-115,1822.73,1786.33,36.4,0
2017-04-01,15,01INU-115,2090.81,2037.68,53.14,0
2017-04-01,16,01INU-115,1754.68,1709.67,45.02,0
2017-04-01,17,01INU-115,1837.23,1776.71,60.52,0
2017-04-01,18,01INU-115,1726.67,1668.67,58,0
2017-04-01,19,01INU-115,1851.48,1783.15,68.32,0
2017-04-01,20,01INU-115,1759.64,1690.37,69.27,0
2017-04-01,21,01INU-115,1865.91,1792.58,73.33,0
2017-04-01,22,01INU-115,1733.21,1666.25,66.96,0
2017-04-01,23,01INU-115,1539.11,1486.38,52.73,0
2017-04-01,24,01INU-115,1418.67,1358.93,59.73,0
2017-04-01,1,01PIR-85,1488.48,1452.41,36.07,0
2017-04-01,2,01PIR-85,1390.92,1355.38,35.53,.01
2017-04-01,3,01PIR-85,971.63,949.62,22,0
2017-04-01,4,01PIR-85,941.4,919.33,22.07,0
2017-04-01,5,01PIR-85,925.19,905.06,20.13,0
2017-04-01,6,01PIR-85,951.07,929.04,22.04,0
2017-04-01,7,01PIR-85,956.42,933.38,23.04,0
