Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-08-01,1,01INU-115,1478.95,1466.87,12.09,0
2017-08-01,2,01INU-115,1366.93,1346.21,20.72,0
2017-08-01,3,01INU-115,1388.73,1363.87,24.87,0
2017-08-01,4,01INU-115,1344.84,1323.09,21.75,0
2017-08-01,5,01INU-115,1291.9,1270.02,21.88,0
2017-08-01,6,01INU-115,1367.83,1337.2,30.63,0
2017-08-01,7,01INU-115,1386.85,1352.64,34.21,0
2017-08-01,8,01INU-115,1390.72,1360.69,30.04,0
2017-08-01,9,01INU-115,1338.18,1313.31,24.87,0
2017-08-01,10,01INU-115,1464.24,1440.95,23.29,0
2017-08-01,11,01INU-115,1283.35,1276.15,7.2,0
2017-08-01,12,01INU-115,1324.1,1322.03,2.07,0
2017-08-01,13,01INU-115,1565.24,1571.57,-6.33,0
2017-08-01,14,01INU-115,1677.7,1681.77,-4.07,0
2017-08-01,15,01INU-115,1674.57,1678.16,-3.59,0
2017-08-01,16,01INU-115,1697.06,1706.81,-9.74,0
2017-08-01,17,01INU-115,1686.12,1693.47,-7.35,0
2017-08-01,18,01INU-115,1676.41,1674.98,1.43,0
2017-08-01,19,01INU-115,1368.62,1356.1,12.51,0
2017-08-01,20,01INU-115,1323.44,1295.08,28.37,0
2017-08-01,21,01INU-115,1406.37,1370.72,35.65,0
2017-08-01,22,01INU-115,1686.96,1656.73,30.23,0
2017-08-01,23,01INU-115,1687.36,1662.84,24.52,0
2017-08-01,24,01INU-115,1440.02,1419.25,20.78,0
2017-08-01,1,01PIR-85,1470.77,1466.87,3.91,0
2017-08-01,2,01PIR-85,1355.68,1346.21,9.47,0
2017-08-01,3,01PIR-85,1376.77,1363.87,12.9,0
2017-08-01,4,01PIR-85,1334.33,1323.09,11.24,0
2017-08-01,5,01PIR-85,1280.42,1270.02,10.4,0
2017-08-01,6,01PIR-85,1354.18,1337.2,16.98,0
2017-08-01,7,01PIR-85,1371.92,1352.64,19.28,0
2017-08-01,8,01PIR-85,1375.74,1360.69,15.06,0
2017-08-01,9,01PIR-85,1324.75,1313.31,11.44,0
2017-08-01,10,01PIR-85,1452.17,1440.95,11.22,0
2017-08-01,11,01PIR-85,1275.25,1276.15,-.9,0
2017-08-01,12,01PIR-85,1316.61,1322.03,-5.42,0
2017-08-01,13,01PIR-85,1556.98,1571.57,-14.59,0
2017-08-01,14,01PIR-85,1669.38,1681.77,-12.4,0
2017-08-01,15,01PIR-85,1668.74,1678.16,-9.42,0
2017-08-01,16,01PIR-85,1690.51,1706.81,-16.29,0
2017-08-01,17,01PIR-85,1678.92,1693.47,-14.55,0
2017-08-01,18,01PIR-85,1668.36,1674.98,-6.62,0
2017-08-01,19,01PIR-85,1362.77,1356.1,6.66,0
2017-08-01,20,01PIR-85,1314.14,1295.08,19.07,0
2017-08-01,21,01PIR-85,1398.02,1370.72,27.3,0
2017-08-01,22,01PIR-85,1676.75,1656.73,20.02,0
2017-08-01,23,01PIR-85,1677.48,1662.84,14.64,0
2017-08-01,24,01PIR-85,1431.42,1419.25,12.17,0
2017-08-01,1,03ADR-69,1532.37,1466.87,65.5,0
2017-08-01,2,03ADR-69,1403.47,1346.21,57.26,0
2017-08-01,3,03ADR-69,1417.76,1363.87,53.89,0
2017-08-01,4,03ADR-69,1373.42,1323.09,50.33,0
2017-08-01,5,03ADR-69,1319.65,1270.02,49.63,0
2017-08-01,6,03ADR-69,1388.66,1337.2,51.46,0
2017-08-01,7,03ADR-69,1408.85,1352.64,56.21,0
2017-08-01,8,03ADR-69,1425.23,1360.69,64.54,0
2017-08-01,9,03ADR-69,1379.41,1313.31,66.11,0
2017-08-01,10,03ADR-69,1510.18,1440.95,69.24,0
2017-08-01,11,03ADR-69,1345.24,1276.15,69.09,0
2017-08-01,12,03ADR-69,1393.07,1322.03,71.04,0
2017-08-01,13,03ADR-69,1658.3,1571.57,86.72,0
2017-08-01,14,03ADR-69,1771.33,1681.77,89.56,0
2017-08-01,15,03ADR-69,1764.9,1678.16,86.74,0
2017-08-01,16,03ADR-69,1797.77,1706.81,90.97,0
2017-08-01,17,03ADR-69,1780.97,1693.47,87.5,0
2017-08-01,18,03ADR-69,1762.85,1674.98,87.87,0
2017-08-01,19,03ADR-69,1419.84,1356.1,63.73,0
2017-08-01,20,03ADR-69,1348.07,1295.08,53,0
2017-08-01,21,03ADR-69,1430.04,1370.72,59.32,0
2017-08-01,22,03ADR-69,1751.29,1656.73,94.56,0
2017-08-01,23,03ADR-69,1754.24,1662.84,91.4,0
2017-08-01,24,03ADR-69,1492.03,1419.25,72.78,0
2017-08-01,1,03GYS-115,1658.57,1466.87,191.7,0
2017-08-01,2,03GYS-115,1511.69,1346.21,165.47,0
2017-08-01,3,03GYS-115,1529.35,1363.87,165.49,0
2017-08-01,4,03GYS-115,1483.82,1323.09,160.73,0
2017-08-01,5,03GYS-115,1421.35,1270.02,151.33,0
2017-08-01,6,03GYS-115,1481.59,1337.2,144.39,0
2017-08-01,7,03GYS-115,1492.6,1352.64,139.96,0
2017-08-01,8,03GYS-115,1505.17,1360.69,144.49,0
2017-08-01,9,03GYS-115,1450.52,1313.31,137.21,0
2017-08-01,10,03GYS-115,1587.46,1440.95,146.52,0
2017-08-01,11,03GYS-115,1436.16,1276.15,160.01,0
2017-08-01,12,03GYS-115,1500.83,1322.03,178.8,0
2017-08-01,13,03GYS-115,1793.93,1571.57,222.36,0
