Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-12-16,1,01INU-115,892.66,368.01,22.46,502.19
2019-12-16,2,01INU-115,578.19,472.22,28.61,77.36
2019-12-16,3,01INU-115,512.96,487.41,28.28,-2.73
2019-12-16,4,01INU-115,485.36,462.31,25.36,-2.31
2019-12-16,5,01INU-115,503.26,478.81,27.19,-2.74
2019-12-16,6,01INU-115,512.43,486.2,29.05,-2.82
2019-12-16,7,01INU-115,650.82,617.43,37.95,-4.55
2019-12-16,8,01INU-115,737.66,703.33,40.14,-5.81
2019-12-16,9,01INU-115,976.34,623.34,38.55,314.44
2019-12-16,10,01INU-115,987.77,633.7,39.43,314.65
2019-12-16,11,01INU-115,1071.45,336.27,20.39,714.79
2019-12-16,12,01INU-115,1119.15,335.61,20.13,763.42
2019-12-16,13,01INU-115,1081.4,552.8,32.76,495.84
2019-12-16,14,01INU-115,1117.54,610.55,36.03,470.96
2019-12-16,15,01INU-115,1087.29,649.73,38.91,398.66
2019-12-16,16,01INU-115,1175.32,545.15,31.76,598.42
2019-12-16,17,01INU-115,1101.52,1021.06,57.29,23.18
2019-12-16,18,01INU-115,1110.44,1075.82,48.93,-14.31
2019-12-16,19,01INU-115,1120.06,1077.4,56.74,-14.08
2019-12-16,20,01INU-115,1138.52,1095.26,58.38,-15.12
2019-12-16,21,01INU-115,1128.34,1081.9,56.74,-10.3
2019-12-16,22,01INU-115,1113.42,1065.75,57.36,-9.69
2019-12-16,23,01INU-115,1116.63,1066.29,59.91,-9.57
2019-12-16,24,01INU-115,1078.99,1030.44,57.9,-9.36
2019-12-16,1,01PIR-85,938.4,368.01,14.36,556.03
2019-12-16,2,01PIR-85,575.38,472.22,18.57,84.59
2019-12-16,3,01PIR-85,501.26,487.41,18.13,-4.28
2019-12-16,4,01PIR-85,474.89,462.31,16.03,-3.44
2019-12-16,5,01PIR-85,491.45,478.81,16.74,-4.09
2019-12-16,6,01PIR-85,500.37,486.2,18.31,-4.13
2019-12-16,7,01PIR-85,633.51,617.43,23.9,-7.81
2019-12-16,8,01PIR-85,718.04,703.33,24.86,-10.15
2019-12-16,9,01PIR-85,1002.14,623.34,24.2,354.6
2019-12-16,10,01PIR-85,1016.73,633.7,26.63,356.4
2019-12-16,11,01PIR-85,1143.91,336.27,13.85,793.79
2019-12-16,12,01PIR-85,1196.34,335.61,13.6,847.13
2019-12-16,13,01PIR-85,1123.26,552.8,22.58,547.88
2019-12-16,14,01PIR-85,1154.41,610.55,24.36,519.5
2019-12-16,15,01PIR-85,1115.3,649.73,26.76,438.81
2019-12-16,16,01PIR-85,1229.11,545.15,22.12,661.85
2019-12-16,17,01PIR-85,1080.12,1021.06,40.91,18.16
2019-12-16,18,01PIR-85,1088.05,1075.82,34.12,-21.89
2019-12-16,19,01PIR-85,1098.89,1077.4,43.03,-21.54
2019-12-16,20,01PIR-85,1117.17,1095.26,45.04,-23.13
2019-12-16,21,01PIR-85,1113.3,1081.9,44.23,-12.83
2019-12-16,22,01PIR-85,1098.79,1065.75,44.6,-11.55
2019-12-16,23,01PIR-85,1097.44,1066.29,42.95,-11.81
2019-12-16,24,01PIR-85,1059.6,1030.44,40.89,-11.73
2019-12-16,1,03ADR-69,576.08,368.01,12.89,195.18
2019-12-16,2,03ADR-69,522.15,472.22,15.5,34.44
2019-12-16,3,03ADR-69,506.32,487.41,14.83,4.08
2019-12-16,4,03ADR-69,475.62,462.31,9.96,3.35
2019-12-16,5,03ADR-69,494.75,478.81,11.94,4.01
2019-12-16,6,03ADR-69,503.17,486.2,13.26,3.71
2019-12-16,7,03ADR-69,653.65,617.43,26.62,9.61
2019-12-16,8,03ADR-69,754.76,703.33,38.39,13.04
2019-12-16,9,03ADR-69,771.32,623.34,37.11,110.87
2019-12-16,10,03ADR-69,780.33,633.7,38.28,108.36
2019-12-16,11,03ADR-69,625.4,336.27,21.27,267.86
2019-12-16,12,03ADR-69,647.34,335.61,21.35,290.39
2019-12-16,13,03ADR-69,786.73,552.8,35.38,198.55
2019-12-16,14,03ADR-69,842.28,610.55,39.45,192.28
2019-12-16,15,03ADR-69,859.19,649.73,42.82,166.65
2019-12-16,16,03ADR-69,816.93,545.15,35.01,236.77
2019-12-16,17,03ADR-69,1121.09,1021.06,59.6,40.43
2019-12-16,18,03ADR-69,1157.15,1075.82,61.66,19.67
2019-12-16,19,03ADR-69,1165.62,1077.4,68.86,19.36
2019-12-16,20,03ADR-69,1195.75,1095.26,79.71,20.79
2019-12-16,21,03ADR-69,1156.59,1081.9,73.64,1.05
2019-12-16,22,03ADR-69,1131.4,1065.75,66.98,-1.33
2019-12-16,23,03ADR-69,1124.04,1066.29,57.43,.32
2019-12-16,24,03ADR-69,1074.55,1030.44,42.95,1.16
2019-12-16,1,03GYS-115,536.84,368.01,-7.98,176.82
2019-12-16,2,03GYS-115,484.27,472.22,-10.99,23.05
2019-12-16,3,03GYS-115,468.99,487.41,-12.13,-6.29
2019-12-16,4,03GYS-115,443.24,462.31,-14.18,-4.88
2019-12-16,5,03GYS-115,459.65,478.81,-13.56,-5.6
2019-12-16,6,03GYS-115,465.3,486.2,-13.05,-7.85
2019-12-16,7,03GYS-115,608.85,617.43,-11.42,2.84
2019-12-16,8,03GYS-115,703.34,703.33,-7.32,7.33
2019-12-16,9,03GYS-115,730.3,623.34,-7.61,114.56
2019-12-16,10,03GYS-115,752.15,633.7,-8.08,126.52
2019-12-16,11,03GYS-115,638.88,336.27,-2.58,305.19
2019-12-16,12,03GYS-115,693.82,335.61,-1.84,360.05
2019-12-16,13,03GYS-115,800.76,552.8,-2.93,250.9
2019-12-16,14,03GYS-115,857.36,610.55,-4.09,250.9
2019-12-16,15,03GYS-115,869.47,649.73,-5.46,225.2
2019-12-16,16,03GYS-115,811.02,545.15,-3.25,269.12
2019-12-16,17,03GYS-115,1075.33,1021.06,-9.32,63.6
2019-12-16,18,03GYS-115,1036.29,1075.82,3.44,-42.98
2019-12-16,19,03GYS-115,1019.42,1077.4,-15.69,-42.29
2019-12-16,20,03GYS-115,1038.61,1095.26,-11.24,-45.41
2019-12-16,21,03GYS-115,996.22,1081.9,-14.41,-71.27
2019-12-16,22,03GYS-115,984.87,1065.75,-6.67,-74.21
