Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2020-01-16,1,01INU-115,474.88,454.53,20.35,0
2020-01-16,2,01INU-115,427.27,410.27,17,0
2020-01-16,3,01INU-115,420.61,404.9,15.71,0
2020-01-16,4,01INU-115,415.84,401.8,14.03,0
2020-01-16,5,01INU-115,418.27,403.33,14.94,0
2020-01-16,6,01INU-115,429.41,411.23,18.18,0
2020-01-16,7,01INU-115,504.12,481.72,22.4,0
2020-01-16,8,01INU-115,548.85,525.37,23.48,0
2020-01-16,9,01INU-115,569.63,544.59,25.04,0
2020-01-16,10,01INU-115,824.82,787.57,37.12,.14
2020-01-16,11,01INU-115,918.53,875.69,42.69,.15
2020-01-16,12,01INU-115,821.2,780.12,41,.08
2020-01-16,13,01INU-115,804.21,765,39.13,.08
2020-01-16,14,01INU-115,944.02,901.77,42.18,.08
2020-01-16,15,01INU-115,977.57,936.58,40.87,.11
2020-01-16,16,01INU-115,1068.74,1024.29,44.32,.13
2020-01-16,17,01INU-115,962.76,922.52,40.1,.14
2020-01-16,18,01INU-115,941.56,909.11,32.3,.15
2020-01-16,19,01INU-115,984.44,948.52,35.77,.15
2020-01-16,20,01INU-115,979.28,938.26,40.87,.14
2020-01-16,21,01INU-115,979.28,941.69,37.45,.15
2020-01-16,22,01INU-115,985.42,949.61,35.66,.15
2020-01-16,23,01INU-115,881.96,847.44,34.39,.13
2020-01-16,24,01INU-115,748.64,718.08,30.45,.11
2020-01-16,1,01PIR-85,465.38,454.53,10.88,-.04
2020-01-16,2,01PIR-85,419.34,410.27,9.07,0
2020-01-16,3,01PIR-85,413.33,404.9,8.37,.06
2020-01-16,4,01PIR-85,408.94,401.8,7.09,.05
2020-01-16,5,01PIR-85,411.08,403.33,7.7,.05
2020-01-16,6,01PIR-85,421.21,411.23,9.98,0
2020-01-16,7,01PIR-85,493.08,481.72,11.36,0
2020-01-16,8,01PIR-85,536.64,525.37,11.27,0
2020-01-16,9,01PIR-85,556.89,544.59,12.3,0
2020-01-16,10,01PIR-85,808.43,787.57,21.54,-.67
2020-01-16,11,01PIR-85,902.58,875.69,27.65,-.77
2020-01-16,12,01PIR-85,805.85,780.12,26.36,-.63
2020-01-16,13,01PIR-85,788.23,765,23.65,-.42
2020-01-16,14,01PIR-85,928.2,901.77,26.83,-.4
2020-01-16,15,01PIR-85,962.29,936.58,26.31,-.6
2020-01-16,16,01PIR-85,1052.33,1024.29,28.75,-.71
2020-01-16,17,01PIR-85,948.13,922.52,26.4,-.79
2020-01-16,18,01PIR-85,928.29,909.11,19.97,-.8
2020-01-16,19,01PIR-85,972.27,948.52,24.58,-.83
2020-01-16,20,01PIR-85,966.73,938.26,29.26,-.78
2020-01-16,21,01PIR-85,967.45,941.69,26.56,-.8
2020-01-16,22,01PIR-85,973.46,949.61,24.69,-.84
2020-01-16,23,01PIR-85,867.48,847.44,20.77,-.73
2020-01-16,24,01PIR-85,734.24,718.08,16.75,-.59
2020-01-16,1,03ADR-69,481.65,454.53,26.95,.17
2020-01-16,2,03ADR-69,431.11,410.27,20.84,0
2020-01-16,3,03ADR-69,423.45,404.9,18.83,-.27
2020-01-16,4,03ADR-69,419.97,401.8,18.42,-.26
2020-01-16,5,03ADR-69,421.04,403.33,17.96,-.26
2020-01-16,6,03ADR-69,431.79,411.23,20.56,0
2020-01-16,7,03ADR-69,512.58,481.72,30.86,0
2020-01-16,8,03ADR-69,565.22,525.37,39.85,0
2020-01-16,9,03ADR-69,588.68,544.59,44.09,0
2020-01-16,10,03ADR-69,849.83,787.57,58.77,3.5
2020-01-16,11,03ADR-69,943.3,875.69,63.68,3.93
2020-01-16,12,03ADR-69,843.11,780.12,59.77,3.21
2020-01-16,13,03ADR-69,828.83,765,61.67,2.16
2020-01-16,14,03ADR-69,975.2,901.77,71.39,2.03
2020-01-16,15,03ADR-69,1011.95,936.58,72.28,3.08
2020-01-16,16,03ADR-69,1105.04,1024.29,77.14,3.61
2020-01-16,17,03ADR-69,998.47,922.52,71.91,4.04
2020-01-16,18,03ADR-69,981.01,909.11,67.82,4.07
2020-01-16,19,03ADR-69,1022.45,948.52,69.68,4.25
2020-01-16,20,03ADR-69,1022.92,938.26,80.66,4
2020-01-16,21,03ADR-69,1026.02,941.69,80.24,4.09
2020-01-16,22,03ADR-69,1030.92,949.61,77.04,4.28
2020-01-16,23,03ADR-69,911.53,847.44,60.34,3.75
2020-01-16,24,03ADR-69,770.14,718.08,49.03,3.03
2020-01-16,1,03GYS-115,457.8,454.53,2.23,1.04
2020-01-16,2,03GYS-115,408.99,410.27,-1.29,0
2020-01-16,3,03GYS-115,401.6,404.9,-1.65,-1.65
2020-01-16,4,03GYS-115,398.48,401.8,-1.78,-1.55
2020-01-16,5,03GYS-115,398.51,403.33,-3.28,-1.55
2020-01-16,6,03GYS-115,408.48,411.23,-2.75,0
2020-01-16,7,03GYS-115,482.89,481.72,1.17,0
2020-01-16,8,03GYS-115,532.8,525.37,7.43,0
2020-01-16,9,03GYS-115,553.05,544.59,8.46,0
2020-01-16,10,03GYS-115,821.06,787.57,11.68,21.81
2020-01-16,11,03GYS-115,909.89,875.69,9.67,24.53
2020-01-16,12,03GYS-115,806.68,780.12,6.58,19.98
2020-01-16,13,03GYS-115,788.31,765,9.86,13.45
2020-01-16,14,03GYS-115,929.61,901.77,15.17,12.68
2020-01-16,15,03GYS-115,972.99,936.58,17.18,19.23
2020-01-16,16,03GYS-115,1065.36,1024.29,18.54,22.53
2020-01-16,17,03GYS-115,971.47,922.52,23.74,25.22
2020-01-16,18,03GYS-115,963.91,909.11,29.39,25.4
2020-01-16,19,03GYS-115,1000.46,948.52,25.43,26.51
2020-01-16,20,03GYS-115,964.99,938.26,1.77,24.96
2020-01-16,21,03GYS-115,981.27,941.69,14.11,25.48
2020-01-16,22,03GYS-115,1015.94,949.61,39.67,26.66
2020-01-16,23,03GYS-115,899.94,847.44,29.15,23.36
2020-01-16,24,03GYS-115,758.65,718.08,21.67,18.9
2020-01-16,1,04EFU-115,324.4,454.53,-104.76,-25.37
2020-01-16,2,04EFU-115,313.04,410.27,-97.24,0
2020-01-16,3,04EFU-115,303.05,404.9,-92.86,-8.99
2020-01-16,4,04EFU-115,300.4,401.8,-92.99,-8.42
2020-01-16,5,04EFU-115,299.82,403.33,-95.07,-8.44
2020-01-16,6,04EFU-115,311.96,411.23,-99.27,0
2020-01-16,7,04EFU-115,371.43,481.72,-110.28,0
2020-01-16,8,04EFU-115,416.49,525.37,-108.88,0
2020-01-16,9,04EFU-115,433.5,544.59,-111.09,0
2020-01-16,10,04EFU-115,124.67,787.57,-128.69,-534.21
2020-01-16,11,04EFU-115,126.03,875.69,-149.86,-599.81
2020-01-16,12,04EFU-115,129.18,780.12,-174.69,-476.26
2020-01-16,13,04EFU-115,116.79,765,-178.73,-469.48
2020-01-16,14,04EFU-115,111.77,901.77,-207.75,-582.25
2020-01-16,15,04EFU-115,131.34,936.58,-191.4,-613.85
2020-01-16,16,04EFU-115,131.83,1024.29,-193.08,-699.38
2020-01-16,17,04EFU-115,131.81,922.52,-171.48,-619.22
2020-01-16,18,04EFU-115,130.43,909.11,-154.96,-623.73
2020-01-16,19,04EFU-115,133.39,948.52,-163.53,-651.6
2020-01-16,20,04EFU-115,142.32,938.26,-182.48,-613.46
2020-01-16,21,04EFU-115,141.61,941.69,-173.73,-626.34
2020-01-16,22,04EFU-115,139.3,949.61,-154.89,-655.41
2020-01-16,23,04EFU-115,133.15,847.44,-140.07,-574.22
2020-01-16,24,04EFU-115,128.66,718.08,-124.77,-464.65
2020-01-16,1,06ETK-115,413.97,454.53,-40.33,-.23
2020-01-16,2,06ETK-115,377.16,410.27,-33.11,0
2020-01-16,3,06ETK-115,375.56,404.9,-29.71,.37
2020-01-16,4,06ETK-115,375.54,401.8,-26.61,.35
2020-01-16,5,06ETK-115,376.61,403.33,-27.07,.35
2020-01-16,6,06ETK-115,380.41,411.23,-30.82,0
2020-01-16,7,06ETK-115,442.4,481.72,-39.32,0
2020-01-16,8,06ETK-115,477.91,525.37,-47.46,0
2020-01-16,9,06ETK-115,493.28,544.59,-51.31,0
2020-01-16,10,06ETK-115,720.28,787.57,-62.39,-4.9
2020-01-16,11,06ETK-115,801.35,875.69,-68.86,-5.48
2020-01-16,12,06ETK-115,712.07,780.12,-63.58,-4.47
2020-01-16,13,06ETK-115,700.15,765,-61.84,-3.01
2020-01-16,14,06ETK-115,829.79,901.77,-69.15,-2.84
2020-01-16,15,06ETK-115,864.57,936.58,-67.72,-4.29
2020-01-16,16,06ETK-115,943.66,1024.29,-75.6,-5.03
2020-01-16,17,06ETK-115,845.08,922.52,-71.81,-5.63
2020-01-16,18,06ETK-115,834.71,909.11,-68.73,-5.67
2020-01-16,19,06ETK-115,870.45,948.52,-72.15,-5.93
2020-01-16,20,06ETK-115,860.35,938.26,-72.34,-5.58
2020-01-16,21,06ETK-115,865.76,941.69,-70.23,-5.7
2020-01-16,22,06ETK-115,870.1,949.61,-73.55,-5.96
2020-01-16,23,06ETK-115,777.35,847.44,-64.87,-5.22
2020-01-16,24,06ETK-115,658.15,718.08,-55.71,-4.23
2020-01-16,1,06LDC-115,414.75,454.53,-39.55,-.23
2020-01-16,2,06LDC-115,377.85,410.27,-32.42,0
2020-01-16,3,06LDC-115,376.21,404.9,-29.05,.37
2020-01-16,4,06LDC-115,376.17,401.8,-25.98,.35
2020-01-16,5,06LDC-115,377.25,403.33,-26.43,.35
2020-01-16,6,06LDC-115,381.1,411.23,-30.13,0
2020-01-16,7,06LDC-115,443.19,481.72,-38.53,0
2020-01-16,8,06LDC-115,478.79,525.37,-46.58,0
2020-01-16,9,06LDC-115,494.22,544.59,-50.37,0
2020-01-16,10,06LDC-115,721.59,787.57,-61.08,-4.9
2020-01-16,11,06LDC-115,802.83,875.69,-67.38,-5.48
2020-01-16,12,06LDC-115,713.41,780.12,-62.24,-4.47
2020-01-16,13,06LDC-115,701.45,765,-60.53,-3.01
2020-01-16,14,06LDC-115,831.38,901.77,-67.55,-2.84
2020-01-16,15,06LDC-115,866.17,936.58,-66.12,-4.3
2020-01-16,16,06LDC-115,945.4,1024.29,-73.86,-5.03
2020-01-16,17,06LDC-115,846.71,922.52,-70.18,-5.63
2020-01-16,18,06LDC-115,836.24,909.11,-67.2,-5.67
2020-01-16,19,06LDC-115,872.06,948.52,-70.54,-5.93
2020-01-16,20,06LDC-115,861.93,938.26,-70.75,-5.58
2020-01-16,21,06LDC-115,867.31,941.69,-68.68,-5.7
2020-01-16,22,06LDC-115,871.7,949.61,-71.94,-5.97
2020-01-16,23,06LDC-115,778.72,847.44,-63.49,-5.23
2020-01-16,24,06LDC-115,659.32,718.08,-54.53,-4.23
2020-01-16,1,06PUO-115,417.17,454.53,-37.12,-.24
2020-01-16,2,06PUO-115,380.4,410.27,-29.87,0
2020-01-16,3,06PUO-115,379.01,404.9,-26.27,.38
2020-01-16,4,06PUO-115,378.26,401.8,-23.9,.35
2020-01-16,5,06PUO-115,379.11,403.33,-24.58,.36
2020-01-16,6,06PUO-115,382.82,411.23,-28.41,0
2020-01-16,7,06PUO-115,444.72,481.72,-37,0
2020-01-16,8,06PUO-115,479.94,525.37,-45.42,0
2020-01-16,9,06PUO-115,495.36,544.59,-49.23,0
2020-01-16,10,06PUO-115,724.37,787.57,-58.16,-5.03
2020-01-16,11,06PUO-115,805.51,875.69,-64.55,-5.63
2020-01-16,12,06PUO-115,715.63,780.12,-59.9,-4.59
2020-01-16,13,06PUO-115,703.66,765,-58.24,-3.09
2020-01-16,14,06PUO-115,834.55,901.77,-64.31,-2.91
2020-01-16,15,06PUO-115,869.48,936.58,-62.69,-4.41
2020-01-16,16,06PUO-115,948.91,1024.29,-70.22,-5.17
2020-01-16,17,06PUO-115,849.91,922.52,-66.83,-5.79
2020-01-16,18,06PUO-115,839.38,909.11,-63.91,-5.83
2020-01-16,19,06PUO-115,875.6,948.52,-66.83,-6.09
2020-01-16,20,06PUO-115,865.57,938.26,-66.96,-5.73
2020-01-16,21,06PUO-115,872.16,941.69,-63.67,-5.85
2020-01-16,22,06PUO-115,877.74,949.61,-65.74,-6.13
2020-01-16,23,06PUO-115,784.17,847.44,-57.9,-5.37
2020-01-16,24,06PUO-115,663.95,718.08,-49.78,-4.34
2020-01-16,1,08CHB-34.5,546.24,454.53,91.75,-.04
2020-01-16,2,08CHB-34.5,482.22,410.27,71.95,0
2020-01-16,3,08CHB-34.5,469.19,404.9,64.23,.06
2020-01-16,4,08CHB-34.5,458.21,401.8,56.34,.06
2020-01-16,5,08CHB-34.5,462.15,403.33,58.76,.06
2020-01-16,6,08CHB-34.5,477.45,411.23,66.22,0
2020-01-16,7,08CHB-34.5,552.85,481.72,71.13,0
