Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-02-16,1,04EFU-115,797.48,914.81,-117.33,0
2017-02-16,2,04EFU-115,766.61,862.62,-110.92,14.91
2017-02-16,3,04EFU-115,721.01,829.84,-108.83,0
2017-02-16,4,04EFU-115,667.2,745.65,-78.45,0
2017-02-16,5,04EFU-115,577.01,616.93,-39.92,0
2017-02-16,6,04EFU-115,679.16,755.49,-76.33,0
2017-02-16,7,04EFU-115,938.93,1071.85,-132.92,0
2017-02-16,8,04EFU-115,1495.65,1668.93,-173.28,0
2017-02-16,9,04EFU-115,1562.77,1748.16,-185.4,0
2017-02-16,10,04EFU-115,1605.21,1803.32,-198.11,0
2017-02-16,11,04EFU-115,1502.2,1670.67,-168.47,0
2017-02-16,12,04EFU-115,1560.91,1757.45,-196.53,0
2017-02-16,13,04EFU-115,1513.23,1658.3,-145.07,0
2017-02-16,14,04EFU-115,1540.59,1710.55,-169.96,0
2017-02-16,15,04EFU-115,1618.24,1827.09,-208.84,0
2017-02-16,16,04EFU-115,1504.29,1656.52,-152.24,0
2017-02-16,17,04EFU-115,1658.32,1860.03,-201.71,0
2017-02-16,18,04EFU-115,1473.83,1623.32,-149.48,0
2017-02-16,19,04EFU-115,1496.58,1657.93,-161.35,0
2017-02-16,20,04EFU-115,1610.81,1802.7,-191.88,0
2017-02-16,21,04EFU-115,1637.35,1819.24,-181.9,0
2017-02-16,22,04EFU-115,1506.76,1620.65,-113.88,0
2017-02-16,23,04EFU-115,1122.52,1221.89,-99.37,0
2017-02-16,24,04EFU-115,821.91,913.74,-91.83,0
2017-02-16,1,06PUO-115,852.79,914.81,-62.02,0
2017-02-16,2,06PUO-115,803.95,862.62,-58.14,-.53
2017-02-16,3,06PUO-115,774.37,829.84,-55.48,0
2017-02-16,4,06PUO-115,696.3,745.65,-49.36,0
2017-02-16,5,06PUO-115,576.79,616.93,-40.15,0
2017-02-16,6,06PUO-115,704.25,755.49,-51.24,0
2017-02-16,7,06PUO-115,999.52,1071.85,-72.33,0
2017-02-16,8,06PUO-115,1558.42,1668.93,-110.5,0
2017-02-16,9,06PUO-115,1632.6,1748.16,-115.56,0
2017-02-16,10,06PUO-115,1683.15,1803.32,-120.17,0
2017-02-16,11,06PUO-115,1555.21,1670.67,-115.46,0
2017-02-16,12,06PUO-115,1633.26,1757.45,-124.18,0
2017-02-16,13,06PUO-115,1544.55,1658.3,-113.75,0
2017-02-16,14,06PUO-115,1590.58,1710.55,-119.97,0
2017-02-16,15,06PUO-115,1698.83,1827.09,-128.26,0
2017-02-16,16,06PUO-115,1544.41,1656.52,-112.11,0
2017-02-16,17,06PUO-115,1741.15,1860.03,-118.88,0
2017-02-16,18,06PUO-115,1513.9,1623.32,-109.42,0
2017-02-16,19,06PUO-115,1547.03,1657.93,-110.9,0
2017-02-16,20,06PUO-115,1679.44,1802.7,-123.26,0
2017-02-16,21,06PUO-115,1693.94,1819.24,-125.31,0
2017-02-16,22,06PUO-115,1510.89,1620.65,-109.76,0
