Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-07-16,1,01INU-115,928.78,904.55,22.23,1.99
2018-07-16,2,01INU-115,827.21,802.9,22.71,1.6
2018-07-16,3,01INU-115,809.51,784.38,23.58,1.55
2018-07-16,4,01INU-115,926.45,891.05,33.49,1.91
2018-07-16,5,01INU-115,949.55,913.91,33.64,2
2018-07-16,6,01INU-115,941.46,902.6,37.39,1.47
2018-07-16,7,01INU-115,1032.31,986.8,45.53,-.02
2018-07-16,8,01INU-115,1152.2,1107.08,44.89,.23
2018-07-16,9,01INU-115,1958.52,1901.52,56.73,.27
2018-07-16,10,01INU-115,2107.87,2044.59,63.01,.27
2018-07-16,11,01INU-115,2155.85,2090.77,64.83,.25
2018-07-16,12,01INU-115,2074.41,2018.04,56.14,.23
2018-07-16,13,01INU-115,2055.29,2011.6,43.69,0
2018-07-16,14,01INU-115,2085.2,2055.95,29.26,0
2018-07-16,15,01INU-115,2065.1,2046.51,18.59,0
2018-07-16,16,01INU-115,2103.5,2076.05,27.44,0
2018-07-16,17,01INU-115,2103.05,2071.41,31.65,0
2018-07-16,18,01INU-115,2133.1,2066.63,66.47,0
2018-07-16,19,01INU-115,2038.08,1989.67,48.41,0
2018-07-16,20,01INU-115,2130.87,2049.75,81.12,0
2018-07-16,21,01INU-115,2222.43,2119.6,99.89,2.93
2018-07-16,22,01INU-115,2160.03,2101.02,59,0
2018-07-16,23,01INU-115,1430.86,1386.13,44.73,0
2018-07-16,24,01INU-115,1168.77,1126.37,42.4,0
2018-07-16,1,01PIR-85,910.42,904.55,10.91,-5.05
2018-07-16,2,01PIR-85,808.76,802.9,9.81,-3.96
2018-07-16,3,01PIR-85,791.58,784.38,11.02,-3.82
2018-07-16,4,01PIR-85,904.45,891.05,18.09,-4.69
2018-07-16,5,01PIR-85,925.79,913.91,16.82,-4.94
2018-07-16,6,01PIR-85,918.55,902.6,19.8,-3.86
2018-07-16,7,01PIR-85,1011.95,986.8,26.17,-1.02
2018-07-16,8,01PIR-85,1129.04,1107.08,23.91,-1.95
2018-07-16,9,01PIR-85,1932.72,1901.52,33.42,-2.22
2018-07-16,10,01PIR-85,2083.89,2044.59,41.71,-2.41
2018-07-16,11,01PIR-85,2134.91,2090.77,46.39,-2.26
2018-07-16,12,01PIR-85,2054.08,2018.04,38.15,-2.1
2018-07-16,13,01PIR-85,2037.99,2011.6,26.4,0
2018-07-16,14,01PIR-85,2066.99,2055.95,11.04,0
2018-07-16,15,01PIR-85,2048.59,2046.51,2.09,0
2018-07-16,16,01PIR-85,2088.94,2076.05,12.89,0
2018-07-16,17,01PIR-85,2089.37,2071.41,17.96,0
2018-07-16,18,01PIR-85,2116.33,2066.63,49.7,0
2018-07-16,19,01PIR-85,2029.23,1989.67,39.56,0
2018-07-16,20,01PIR-85,2116.11,2049.75,66.36,0
2018-07-16,21,01PIR-85,2219.95,2119.6,84.29,16.06
2018-07-16,22,01PIR-85,2150.79,2101.02,49.77,0
2018-07-16,23,01PIR-85,1424.84,1386.13,38.7,0
2018-07-16,24,01PIR-85,1160.83,1126.37,34.46,0
2018-07-16,1,03ADR-69,988.62,904.55,48.09,35.98
2018-07-16,2,03ADR-69,875.24,802.9,44.19,28.15
2018-07-16,3,03ADR-69,852.22,784.38,40.66,27.19
2018-07-16,4,03ADR-69,969.08,891.05,44.58,33.45
2018-07-16,5,03ADR-69,995.88,913.91,46.84,35.13
2018-07-16,6,03ADR-69,975.28,902.6,45.75,26.93
2018-07-16,7,03ADR-69,1039.33,986.8,47.77,4.76
2018-07-16,8,03ADR-69,1177.14,1107.08,58.67,11.38
2018-07-16,9,03ADR-69,2017.08,1901.52,104.51,11.04
2018-07-16,10,03ADR-69,2162.76,2044.59,106.16,12.01
2018-07-16,11,03ADR-69,2208.87,2090.77,106.85,11.25
2018-07-16,12,03ADR-69,2131.71,2018.04,103.2,10.47
2018-07-16,13,03ADR-69,2125.23,2011.6,113.63,0
2018-07-16,14,03ADR-69,2187.51,2055.95,131.56,0
2018-07-16,15,03ADR-69,2179.15,2046.51,132.64,0
2018-07-16,16,03ADR-69,2203.51,2076.05,127.45,0
2018-07-16,17,03ADR-69,2193.28,2071.41,121.88,0
2018-07-16,18,03ADR-69,2160.96,2066.63,94.33,0
2018-07-16,19,03ADR-69,2080.12,1989.67,90.45,0
2018-07-16,20,03ADR-69,2131.89,2049.75,82.14,0
2018-07-16,21,03ADR-69,2199.81,2119.6,95.24,-15.02
2018-07-16,22,03ADR-69,2240.25,2101.02,139.22,0
2018-07-16,23,03ADR-69,1463.7,1386.13,77.56,0
2018-07-16,24,03ADR-69,1174.45,1126.37,48.07,0
