Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-06-16,1,04EFU-115,6768.17,3848.57,654.44,2265.17
2017-06-16,2,04EFU-115,3359.02,2874.91,484.11,0
2017-06-16,3,04EFU-115,3224.94,2782.99,441.95,0
2017-06-16,4,04EFU-115,2998.33,2657.23,341.1,0
2017-06-16,5,04EFU-115,2808.92,2512.76,296.16,0
2017-06-16,6,04EFU-115,1800.97,1618.69,182.27,0
2017-06-16,7,04EFU-115,1772.96,1600.59,172.37,0
2017-06-16,8,04EFU-115,2625.26,2456.78,168.49,0
2017-06-16,9,04EFU-115,2721.43,2504.08,217.35,0
2017-06-16,10,04EFU-115,4943.05,4554.24,388.81,0
2017-06-16,11,04EFU-115,5080.19,4638.39,441.8,0
2017-06-16,12,04EFU-115,6189.3,5729.47,459.83,0
2017-06-16,13,04EFU-115,7107.19,6484.33,622.86,0
2017-06-16,14,04EFU-115,7107.19,6512.47,594.72,0
2017-06-16,15,04EFU-115,7107.19,6483.08,624.11,0
2017-06-16,16,04EFU-115,7107.19,6403.41,703.78,0
2017-06-16,17,04EFU-115,7107.19,6466.06,635.29,5.84
2017-06-16,18,04EFU-115,7107.19,6439.71,667.48,0
2017-06-16,19,04EFU-115,7107.19,6409.32,697.87,0
2017-06-16,20,04EFU-115,7107.19,6454.7,652.49,0
2017-06-16,21,04EFU-115,6808.49,6393.95,414.55,0
2017-06-16,22,04EFU-115,7107.19,6620.6,486.59,0
2017-06-16,23,04EFU-115,7107.19,6414.89,692.3,0
2017-06-16,24,04EFU-115,5348.33,6971.02,949.85,-2572.54
2017-06-16,1,06PUO-115,4771.53,3848.57,-182.26,1105.22
2017-06-16,2,06PUO-115,2736.49,2874.91,-138.43,0
2017-06-16,3,06PUO-115,2639.62,2782.99,-143.38,0
2017-06-16,4,06PUO-115,2508.5,2657.23,-148.74,0
2017-06-16,5,06PUO-115,2366.33,2512.76,-146.43,0
2017-06-16,6,06PUO-115,1527.06,1618.69,-91.64,0
2017-06-16,7,06PUO-115,1506.85,1600.59,-93.74,0
2017-06-16,8,06PUO-115,2301.98,2456.78,-154.8,0
2017-06-16,9,06PUO-115,2352.41,2504.08,-151.66,0
2017-06-16,10,06PUO-115,4290.95,4554.24,-263.29,0
2017-06-16,11,06PUO-115,4387.53,4638.39,-250.86,0
2017-06-16,12,06PUO-115,5435.93,5729.47,-293.54,0
2017-06-16,13,06PUO-115,6362.22,6692.81,-330.59,0
2017-06-16,14,06PUO-115,6887.07,7236.34,-349.27,0
2017-06-16,15,06PUO-115,6441.81,6772.79,-330.97,0
2017-06-16,16,06PUO-115,6584.12,6914.93,-330.81,0
2017-06-16,17,06PUO-115,6490.41,6837.62,-343.95,-3.25
2017-06-16,18,06PUO-115,6724.63,7081.94,-357.32,0
2017-06-16,19,06PUO-115,6794.56,7161.09,-366.53,0
2017-06-16,20,06PUO-115,6475.66,6858.03,-382.37,0
2017-06-16,21,06PUO-115,5992.27,6393.95,-401.68,0
2017-06-16,22,06PUO-115,6353.27,6757.24,-403.97,0
2017-06-16,23,06PUO-115,6172.06,6548.38,-376.32,0
2017-06-16,24,06PUO-115,6689.83,6971.02,-370.77,89.57
2017-06-16,1,08COZ-34.5,5088.6,3848.57,401.46,838.57
2017-06-16,2,08COZ-34.5,3198.2,2874.91,323.29,0
2017-06-16,3,08COZ-34.5,3165.14,2782.99,382.15,0
2017-06-16,4,08COZ-34.5,3110.3,2657.23,453.07,0
2017-06-16,5,08COZ-34.5,2944.2,2512.76,431.44,0
2017-06-16,6,08COZ-34.5,1867.96,1618.69,249.27,0
2017-06-16,7,08COZ-34.5,1767.53,1600.59,166.94,0
2017-06-16,8,08COZ-34.5,2637.02,2456.78,180.24,0
2017-06-16,9,08COZ-34.5,2610.58,2504.08,106.5,0
2017-06-16,10,08COZ-34.5,4745.51,4554.24,191.28,0
2017-06-16,11,08COZ-34.5,4888.39,4638.39,250,0
2017-06-16,12,08COZ-34.5,5974.63,5729.47,245.16,0
2017-06-16,13,08COZ-34.5,6695.18,6692.81,2.37,0
2017-06-16,14,08COZ-34.5,7107.19,7182.41,-75.22,0
2017-06-16,15,08COZ-34.5,6773.5,6772.79,.72,0
2017-06-16,16,08COZ-34.5,6920.11,6914.93,5.19,0
2017-06-16,17,08COZ-34.5,6909.99,6837.62,73.12,-.76
2017-06-16,18,08COZ-34.5,7107.19,7006.15,101.04,0
2017-06-16,19,08COZ-34.5,7107.19,7030.92,76.27,0
2017-06-16,20,08COZ-34.5,7107.19,6784.03,323.16,0
2017-06-16,21,08COZ-34.5,6793.47,6393.95,399.52,0
2017-06-16,22,08COZ-34.5,7024.1,6757.24,266.86,0
2017-06-16,23,08COZ-34.5,6823.54,6548.38,275.16,0
2017-06-16,24,08COZ-34.5,7107.19,6927.22,166.27,13.7
2017-06-17,1,04EFU-115,4637.11,6021.95,958.78,-2343.62
2017-06-17,2,04EFU-115,4756.44,4139.7,616.74,0
2017-06-17,3,04EFU-115,1828.73,1624.75,203.98,0
2017-06-17,4,04EFU-115,1849.34,1635.28,214.06,0
2017-06-17,5,04EFU-115,4742.59,4214.74,527.85,0
2017-06-17,6,04EFU-115,4645.24,4222.51,422.73,0
2017-06-17,7,04EFU-115,4536.71,4165.67,371.04,0
2017-06-17,8,04EFU-115,4084.41,3821.28,263.13,0
2017-06-17,9,04EFU-115,5335.71,4892.79,442.92,0
2017-06-17,10,04EFU-115,4525,4065.85,459.15,0
2017-06-17,11,04EFU-115,4276.78,4633.61,557.51,-914.35
2017-06-17,12,04EFU-115,3662.87,4155.32,526.69,-1019.14
2017-06-17,13,04EFU-115,3069.3,4122.06,431.56,-1484.32
