Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-03-01,1,03STG-115,883.2,869.89,13.31,0
2017-03-01,2,03STG-115,817.59,806.39,11.2,0
2017-03-01,3,03STG-115,772.31,765.41,6.91,0
2017-03-01,4,03STG-115,759.15,753.09,6.06,0
2017-03-01,5,03STG-115,825.06,816.47,8.59,0
2017-03-01,6,03STG-115,932.81,922.71,10.1,0
2017-03-01,7,03STG-115,1087.22,1072.39,14.83,0
2017-03-01,8,03STG-115,1587.36,1565.32,22.04,0
2017-03-01,9,03STG-115,1723.18,1692.05,31.13,0
2017-03-01,10,03STG-115,2144.1,2099.33,44.77,0
2017-03-01,11,03STG-115,2160.8,2112.55,48.25,0
2017-03-01,12,03STG-115,2076.23,2027.42,48.81,0
2017-03-01,13,03STG-115,2153.79,2100.7,53.09,0
2017-03-01,14,03STG-115,2087.26,2036.48,50.77,0
2017-03-01,15,03STG-115,2176.77,2124.07,52.7,0
2017-03-01,16,03STG-115,2182.04,2127.42,54.1,.53
2017-03-01,17,03STG-115,2082.3,2033.74,48.55,0
2017-03-01,18,03STG-115,2078.18,2032.79,45.39,0
2017-03-01,19,03STG-115,2132.18,2097.87,34.06,.25
2017-03-01,20,03STG-115,2302.18,2257.49,44.69,0
2017-03-01,21,03STG-115,2159.47,2117.19,42.28,0
2017-03-01,22,03STG-115,1918.87,1889.16,29.71,0
2017-03-01,23,03STG-115,1759.63,1731.54,28.1,0
2017-03-01,24,03STG-115,1137.03,1121.23,15.8,0
2017-03-01,1,04PLD-230,467.63,869.89,-218.96,-183.3
2017-03-01,2,04PLD-230,495.1,806.39,-203.05,-108.23
2017-03-01,3,04PLD-230,477.63,765.41,-205.75,-82.03
2017-03-01,4,04PLD-230,461.21,753.09,-207.63,-84.25
2017-03-01,5,04PLD-230,515.09,816.47,-206.36,-95.03
2017-03-01,6,04PLD-230,518.84,922.71,-237.74,-166.14
2017-03-01,7,04PLD-230,549.21,1072.39,-262.02,-261.16
2017-03-01,8,04PLD-230,1167.25,1565.32,-398.07,0
2017-03-01,9,04PLD-230,1308.8,1692.05,-383.24,0
2017-03-01,10,04PLD-230,1531.87,2099.33,-530.63,-36.84
2017-03-01,11,04PLD-230,1555.49,2112.55,-557.06,0
2017-03-01,12,04PLD-230,1536.1,2027.42,-491.32,0
2017-03-01,13,04PLD-230,1548.85,2100.7,-485.39,-66.46
2017-03-01,14,04PLD-230,1544.83,2036.48,-470.43,-21.23
2017-03-01,15,04PLD-230,1599.82,2124.07,-498.75,-25.49
2017-03-01,16,04PLD-230,1402.38,2127.42,-505.47,-219.58
2017-03-01,17,04PLD-230,1546.95,2033.74,-485.22,-1.57
2017-03-01,18,04PLD-230,1529.39,2032.79,-503.4,0
2017-03-01,19,04PLD-230,1454.33,2097.87,-593.96,-49.59
2017-03-01,20,04PLD-230,1591.65,2257.49,-665.84,0
2017-03-01,21,04PLD-230,1525.56,2117.19,-591.64,0
2017-03-01,22,04PLD-230,1257.6,1889.16,-631.56,0
2017-03-01,23,04PLD-230,641.4,1731.54,-540.69,-549.44
2017-03-01,24,04PLD-230,513.19,1121.23,-311.18,-296.85
2017-03-01,1,08CHS-34.5,1093.91,869.89,224.01,0
2017-03-01,2,08CHS-34.5,1016.71,806.39,210.32,0
2017-03-01,3,08CHS-34.5,984.5,765.41,219.09,0
2017-03-01,4,08CHS-34.5,965.94,753.09,212.85,0
2017-03-01,5,08CHS-34.5,1047.82,816.47,231.35,0
2017-03-01,6,08CHS-34.5,1190.85,922.71,268.14,0
2017-03-01,7,08CHS-34.5,1362.66,1072.39,290.27,0
2017-03-01,8,08CHS-34.5,1987.84,1565.32,422.52,0
2017-03-01,9,08CHS-34.5,2100.58,1692.05,408.53,0
2017-03-01,10,08CHS-34.5,2585.28,2099.33,485.95,0
2017-03-01,11,08CHS-34.5,2567.37,2112.55,454.83,0
2017-03-01,12,08CHS-34.5,2458.71,2027.42,401.86,29.42
2017-03-01,13,08CHS-34.5,2541.01,2100.7,440.31,0
2017-03-01,14,08CHS-34.5,2470.66,2036.48,434.18,0
2017-03-01,15,08CHS-34.5,2592.02,2124.07,467.96,0
2017-03-01,16,08CHS-34.5,2591.93,2127.42,464.71,-.19
2017-03-01,17,08CHS-34.5,2478.68,2033.74,444.94,0
2017-03-01,18,08CHS-34.5,2519.95,2032.79,487.16,0
2017-03-01,19,08CHS-34.5,2743.61,2097.87,617.21,28.53
2017-03-01,20,08CHS-34.5,2921.99,2257.49,664.5,0
2017-03-01,21,08CHS-34.5,2747.71,2117.19,630.51,0
2017-03-01,22,08CHS-34.5,2514.67,1889.16,625.51,0
2017-03-01,23,08CHS-34.5,2313.96,1731.54,551.51,30.92
2017-03-01,24,08CHS-34.5,1484.3,1121.23,363.08,0
2017-03-02,1,03STG-115,979.63,964.88,12.86,1.89
2017-03-02,2,03STG-115,927.05,913.94,11.57,1.55
2017-03-02,3,03STG-115,803.78,794.19,8.5,1.09
2017-03-02,4,03STG-115,765.72,757.34,7.47,.91
2017-03-02,5,03STG-115,656.19,648.5,7.22,.47
2017-03-02,6,03STG-115,597.5,588.61,8.67,.21
2017-03-02,7,03STG-115,825.7,808.38,16.19,1.13
