Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-05-01,1,04EFU-115,2086.09,1776.5,-10.06,319.65
2019-05-01,2,04EFU-115,1782.92,1822.28,-39.36,0
2019-05-01,3,04EFU-115,1844.73,1741.1,-98.33,201.96
2019-05-01,4,04EFU-115,1636.35,1706.12,-111.68,41.9
2019-05-01,5,04EFU-115,1379.25,1707.71,-119.21,-209.25
2019-05-01,6,04EFU-115,1292.1,1688.99,-123.09,-273.81
2019-05-01,7,04EFU-115,1594.94,1687.3,-67.73,-24.63
2019-05-01,8,04EFU-115,1396.73,1659.31,-93.16,-169.42
2019-05-01,9,04EFU-115,1581.47,1570.25,-187.74,198.95
2019-05-01,10,04EFU-115,2084.76,1251.18,-182.45,1016.02
2019-05-01,11,04EFU-115,1659.27,1676.45,-261,243.82
2019-05-01,12,04EFU-115,1645.93,1497.66,-225.1,373.36
2019-05-01,13,04EFU-115,1153.6,1627.02,-230.8,-242.62
2019-05-01,14,04EFU-115,1469.01,1650.43,-228.18,46.76
2019-05-01,15,04EFU-115,1536.95,1701.1,-209.84,45.69
2019-05-01,16,04EFU-115,1623.26,1721.29,-199.82,101.79
2019-05-01,17,04EFU-115,1714.36,1836.26,-151.89,29.99
2019-05-01,18,04EFU-115,2102.25,1786.8,-119.22,434.66
2019-05-01,19,04EFU-115,1779.14,1807.75,-101.65,73.05
2019-05-01,20,04EFU-115,1992.97,2080.07,-87.1,0
2019-05-01,21,04EFU-115,1991.11,2026.98,-39.74,3.87
2019-05-01,22,04EFU-115,2123.3,2025.34,68.14,29.82
2019-05-01,23,04EFU-115,1981.6,1903.67,34.56,43.37
2019-05-01,24,04EFU-115,2250.47,2193.97,60.06,-3.56
2019-05-01,1,06PUO-115,1623.79,1776.5,-141.58,-11.13
2019-05-01,2,06PUO-115,1678.3,1822.28,-143.98,0
2019-05-01,3,06PUO-115,1658.23,1741.1,-142.97,60.1
2019-05-01,4,06PUO-115,1690.58,1706.12,-144.75,129.21
2019-05-01,5,06PUO-115,1718.05,1707.71,-147.46,157.8
2019-05-01,6,06PUO-115,1730.99,1688.99,-143.53,185.53
2019-05-01,7,06PUO-115,1603.42,1687.3,-142.58,58.7
2019-05-01,8,06PUO-115,1631.95,1659.31,-142.23,114.87
2019-05-01,9,06PUO-115,1447.24,1570.25,-135.65,12.64
2019-05-01,10,06PUO-115,1143.35,1251.18,-108.54,.71
2019-05-01,11,06PUO-115,1458.66,1676.45,-152.78,-65.01
2019-05-01,12,06PUO-115,1377.26,1497.66,-128.31,7.91
2019-05-01,13,06PUO-115,1667.55,1627.02,-138.07,178.6
2019-05-01,14,06PUO-115,1562.95,1650.43,-137.33,49.85
