Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2017-11-01,1,03STG-115,853.41,842.52,10.88,0
2017-11-01,2,03STG-115,884.98,871.35,13.63,0
2017-11-01,3,03STG-115,865.3,854.4,10.9,0
2017-11-01,4,03STG-115,834.25,822.64,11.61,0
2017-11-01,5,03STG-115,855.53,843.74,11.79,0
2017-11-01,6,03STG-115,909.91,895.65,14.26,0
2017-11-01,7,03STG-115,956.55,938.12,18.44,0
2017-11-01,8,03STG-115,1023.12,1000.49,22.63,0
2017-11-01,9,03STG-115,1188.7,1157.85,30.86,0
2017-11-01,10,03STG-115,1448.75,1415.87,32.89,0
2017-11-01,11,03STG-115,1372.31,1343.12,29.18,0
2017-11-01,12,03STG-115,1485.29,1456.35,28.94,0
2017-11-01,13,03STG-115,1484.14,1453.08,31.06,0
2017-11-01,14,03STG-115,1436.55,1410.46,26.09,0
2017-11-01,15,03STG-115,1422.59,1397.15,25.44,0
2017-11-01,16,03STG-115,1418.57,1392.6,25.97,0
2017-11-01,17,03STG-115,1464.66,1440,24.66,0
2017-11-01,18,03STG-115,1474.15,1449.1,25.05,0
2017-11-01,19,03STG-115,1465.23,1437.17,28.07,0
2017-11-01,20,03STG-115,1491.61,1455.98,35.63,0
2017-11-01,21,03STG-115,1476.92,1442.01,34.92,0
2017-11-01,22,03STG-115,1425.6,1396.84,28.76,0
2017-11-01,23,03STG-115,1416.26,1394.33,21.93,0
2017-11-01,24,03STG-115,1257.38,1237.86,19.52,0
2017-11-01,1,04PLD-230,627.95,842.52,-214.57,0
2017-11-01,2,04PLD-230,672.01,871.35,-199.34,0
2017-11-01,3,04PLD-230,643.42,854.4,-210.98,0
2017-11-01,4,04PLD-230,619.35,822.64,-203.3,0
2017-11-01,5,04PLD-230,648.72,843.74,-195.01,0
2017-11-01,6,04PLD-230,689.94,895.65,-205.71,0
2017-11-01,7,04PLD-230,729.7,938.12,-208.41,0
2017-11-01,8,04PLD-230,749.87,1000.49,-250.62,0
2017-11-01,9,04PLD-230,871.21,1157.85,-286.63,0
2017-11-01,10,04PLD-230,1172.6,1415.87,-243.26,0
2017-11-01,11,04PLD-230,1118.35,1343.12,-224.78,0
2017-11-01,12,04PLD-230,1172.94,1456.35,-283.41,0
2017-11-01,13,04PLD-230,1068.64,1453.08,-384.44,0
2017-11-01,14,04PLD-230,1015.71,1410.46,-394.75,0
2017-11-01,15,04PLD-230,1027.14,1397.15,-370.01,0
2017-11-01,16,04PLD-230,996.44,1392.6,-396.16,0
2017-11-01,17,04PLD-230,1072.86,1440,-367.14,0
2017-11-01,18,04PLD-230,1146.93,1449.1,-302.18,0
2017-11-01,19,04PLD-230,1156.52,1437.17,-280.65,0
2017-11-01,20,04PLD-230,1156.76,1455.98,-299.22,0
2017-11-01,21,04PLD-230,1134.22,1442.01,-307.79,0
2017-11-01,22,04PLD-230,1079.17,1396.84,-317.67,0
2017-11-01,23,04PLD-230,1041.84,1394.33,-352.49,0
2017-11-01,24,04PLD-230,924.41,1237.86,-313.46,0
2017-11-01,1,08CHS-34.5,1023.39,842.52,180.86,0
2017-11-01,2,08CHS-34.5,1048.83,871.35,177.48,0
2017-11-01,3,08CHS-34.5,1034.72,854.4,180.32,0
2017-11-01,4,08CHS-34.5,963.76,822.64,141.12,0
2017-11-01,5,08CHS-34.5,993.64,843.74,149.91,0
2017-11-01,6,08CHS-34.5,1020.27,895.65,124.62,0
2017-11-01,7,08CHS-34.5,1042.15,938.12,104.04,0
2017-11-01,8,08CHS-34.5,1112.41,1000.49,111.92,0
2017-11-01,9,08CHS-34.5,1270.51,1157.85,112.66,0
2017-11-01,10,08CHS-34.5,1584.34,1415.87,168.48,0
2017-11-01,11,08CHS-34.5,1517.3,1343.12,174.18,0
2017-11-01,12,08CHS-34.5,1662.28,1456.35,205.93,0
2017-11-01,13,08CHS-34.5,1663.29,1453.08,210.21,0
2017-11-01,14,08CHS-34.5,1670.73,1410.46,260.27,0
2017-11-01,15,08CHS-34.5,1662.76,1397.15,265.6,0
2017-11-01,16,08CHS-34.5,1648.81,1392.6,256.21,0
2017-11-01,17,08CHS-34.5,1700.97,1440,260.98,0
2017-11-01,18,08CHS-34.5,1705.6,1449.1,256.5,0
2017-11-01,19,08CHS-34.5,1714.93,1437.17,277.76,0
2017-11-01,20,08CHS-34.5,1711.23,1455.98,255.25,0
2017-11-01,21,08CHS-34.5,1702.34,1442.01,260.33,0
2017-11-01,22,08CHS-34.5,1682.66,1396.84,285.82,0
2017-11-01,23,08CHS-34.5,1701.53,1394.33,307.21,0
2017-11-01,24,08CHS-34.5,1494.53,1237.86,256.67,0
2017-11-02,1,03STG-115,993.34,977.44,15.41,.48
2017-11-02,2,03STG-115,1026.29,1012.52,13.78,0
2017-11-02,3,03STG-115,902.44,889.95,12.49,0
2017-11-02,4,03STG-115,885.27,872.37,12.9,0
2017-11-02,5,03STG-115,862.84,851.36,11.47,0
2017-11-02,6,03STG-115,879.53,868.37,11.16,0
2017-11-02,7,03STG-115,875.44,860.63,14.81,0
2017-11-02,8,03STG-115,907.78,889.68,18.09,0
2017-11-02,9,03STG-115,1008.67,988.96,19.71,0
2017-11-02,10,03STG-115,1338.95,1308.17,30.78,0
2017-11-02,11,03STG-115,1419.82,1385.65,33.77,.4
2017-11-02,12,03STG-115,1462.19,1430.11,32.08,0
2017-11-02,13,03STG-115,1539.53,1505.74,33.79,0
2017-11-02,14,03STG-115,1326.63,1292.94,33.69,0
2017-11-02,15,03STG-115,1391.03,1354.79,36.24,0
