Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-10-16,1,01INU-115,1115.59,1061.39,54.2,0
2019-10-16,2,01INU-115,957.54,910.32,47.22,0
2019-10-16,3,01INU-115,834.99,792.17,42.82,0
2019-10-16,4,01INU-115,805.04,761.56,44.23,-.74
2019-10-16,5,01INU-115,844.47,802.47,42,0
2019-10-16,6,01INU-115,948.06,903.1,44.96,0
2019-10-16,7,01INU-115,1053.93,1005.23,48.7,0
2019-10-16,8,01INU-115,1133.29,1083.21,50.08,0
2019-10-16,9,01INU-115,1235.2,1185.03,53.11,-2.94
2019-10-16,10,01INU-115,1128.92,1072.31,52.3,4.3
2019-10-16,11,01INU-115,1313.35,1244.13,67.56,1.65
2019-10-16,12,01INU-115,1328.13,1266.65,66.05,-4.57
2019-10-16,13,01INU-115,1318.04,1266.18,63.61,-11.75
2019-10-16,14,01INU-115,1118.89,1065.66,52.94,.29
2019-10-16,15,01INU-115,1080.41,1030.94,49.35,.12
2019-10-16,16,01INU-115,1180.08,1122.49,60.96,-3.37
2019-10-16,17,01INU-115,1275.77,1211.34,69.11,-4.68
2019-10-16,18,01INU-115,1122.23,1062.27,59.52,.44
2019-10-16,19,01INU-115,1149.67,1101.18,60.97,-12.48
2019-10-16,20,01INU-115,1412.55,1351.88,77.85,-17.18
2019-10-16,21,01INU-115,1346.28,1292.29,72.23,-18.23
2019-10-16,22,01INU-115,1227.04,1178.92,64.17,-16.05
2019-10-16,23,01INU-115,1123.32,1065.12,57.8,.4
2019-10-16,24,01INU-115,1074.01,1034.13,53.25,-13.37
2019-10-16,1,01PIR-85,1097.56,1061.39,36.17,0
2019-10-16,2,01PIR-85,941.31,910.32,30.99,0
2019-10-16,3,01PIR-85,820.28,792.17,28.12,0
2019-10-16,4,01PIR-85,789.13,761.56,28.71,-1.15
2019-10-16,5,01PIR-85,829.51,802.47,27.04,0
2019-10-16,6,01PIR-85,932.66,903.1,29.56,0
2019-10-16,7,01PIR-85,1038.66,1005.23,33.43,0
2019-10-16,8,01PIR-85,1118.17,1083.21,34.96,0
2019-10-16,9,01PIR-85,1219.2,1185.03,38.71,-4.55
2019-10-16,10,01PIR-85,1112.63,1072.31,39.8,.52
2019-10-16,11,01PIR-85,1300.88,1244.13,51.8,4.95
2019-10-16,12,01PIR-85,1314.55,1266.65,51.17,-3.27
2019-10-16,13,01PIR-85,1298.05,1266.18,47.18,-15.31
2019-10-16,14,01PIR-85,1103.44,1065.66,37.85,-.07
2019-10-16,15,01PIR-85,1064.77,1030.94,34.6,-.77
2019-10-16,16,01PIR-85,1162.48,1122.49,43.98,-3.99
2019-10-16,17,01PIR-85,1254.96,1211.34,48.16,-4.54
2019-10-16,18,01PIR-85,1106.76,1062.27,41.82,2.67
2019-10-16,19,01PIR-85,1125.67,1101.18,42.9,-18.42
2019-10-16,20,01PIR-85,1385.68,1351.88,58.91,-25.11
2019-10-16,21,01PIR-85,1318.45,1292.29,54.3,-28.14
2019-10-16,22,01PIR-85,1202.06,1178.92,47.91,-24.77
2019-10-16,23,01PIR-85,1109.38,1065.12,42.12,2.15
2019-10-16,24,01PIR-85,1050.77,1034.13,37.28,-20.64
2019-10-16,1,03ADR-69,1110.1,1061.39,48.71,0
2019-10-16,2,03ADR-69,953.32,910.32,43,0
2019-10-16,3,03ADR-69,827.52,792.17,35.35,0
2019-10-16,4,03ADR-69,797.18,761.56,34.55,1.07
2019-10-16,5,03ADR-69,834.44,802.47,31.97,0
2019-10-16,6,03ADR-69,938.5,903.1,35.4,0
2019-10-16,7,03ADR-69,1048.58,1005.23,43.35,0
2019-10-16,8,03ADR-69,1135.08,1083.21,51.87,0
2019-10-16,9,03ADR-69,1243.81,1185.03,54.55,4.23
2019-10-16,10,03ADR-69,1121.71,1072.31,48.72,.68
2019-10-16,11,03ADR-69,1283.72,1244.13,56.78,-17.19
2019-10-16,12,03ADR-69,1314.75,1266.65,58.55,-10.45
