Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-09-16,1,04EFU-115,1048.92,993.39,55.54,0
2018-09-16,2,04EFU-115,653.58,619.44,34.13,0
2018-09-16,3,04EFU-115,625.44,589.68,35.42,.33
2018-09-16,4,04EFU-115,601.51,581.44,19.67,.4
2018-09-16,5,04EFU-115,589.7,575.54,14.16,0
2018-09-16,6,04EFU-115,581.27,568.72,12.36,.19
2018-09-16,7,04EFU-115,567.62,558.52,9.1,0
2018-09-16,8,04EFU-115,558.79,553.79,5,0
2018-09-16,9,04EFU-115,536.68,551.13,-9.24,-5.21
2018-09-16,10,04EFU-115,534.36,566.32,-19.67,-12.28
2018-09-16,11,04EFU-115,531.07,560.27,-20.37,-8.84
2018-09-16,12,04EFU-115,546.82,580.29,-19.16,-14.32
2018-09-16,13,04EFU-115,553.05,573.98,-7.28,-13.66
2018-09-16,14,04EFU-115,562.87,573.1,-10.23,0
2018-09-16,15,04EFU-115,575.78,574.32,1.47,0
2018-09-16,16,04EFU-115,604.99,588.76,16.23,0
2018-09-16,17,04EFU-115,770.65,755.78,14.87,0
2018-09-16,18,04EFU-115,808.44,793.5,14.93,0
2018-09-16,19,04EFU-115,797.94,790.94,7,0
2018-09-16,20,04EFU-115,1019.31,1016.9,2.42,0
2018-09-16,21,04EFU-115,1487.49,1516.09,-28.61,0
2018-09-16,22,04EFU-115,1530.87,1513.43,17.44,0
2018-09-16,23,04EFU-115,1120.23,1089.26,30.98,0
2018-09-16,24,04EFU-115,1037.67,973.34,64.33,0
2018-09-16,1,06PUO-115,930.41,993.39,-62.98,0
2018-09-16,2,06PUO-115,582.48,619.44,-36.96,0
2018-09-16,3,06PUO-115,556.47,589.68,-33.98,.76
2018-09-16,4,06PUO-115,550.11,581.44,-32.1,.77
2018-09-16,5,06PUO-115,545.95,575.54,-29.59,0
2018-09-16,6,06PUO-115,539.55,568.72,-29.16,-.01
2018-09-16,7,06PUO-115,529.18,558.52,-29.35,0
2018-09-16,8,06PUO-115,524.9,553.79,-28.89,0
2018-09-16,9,06PUO-115,519.89,551.13,-28.8,-2.44
2018-09-16,10,06PUO-115,528.46,566.32,-30.44,-7.42
2018-09-16,11,06PUO-115,524.53,560.27,-30.52,-5.22
2018-09-16,12,06PUO-115,539.69,580.29,-31.87,-8.73
2018-09-16,13,06PUO-115,534.19,573.98,-31.47,-8.32
2018-09-16,14,06PUO-115,541.27,573.1,-31.83,0
2018-09-16,15,06PUO-115,542.81,574.32,-31.51,0
2018-09-16,16,06PUO-115,554.06,588.76,-34.7,0
2018-09-16,17,06PUO-115,709.13,755.78,-46.66,0
2018-09-16,18,06PUO-115,743.6,793.5,-49.91,0
2018-09-16,19,06PUO-115,744.7,790.94,-46.24,0
2018-09-16,20,06PUO-115,953.36,1016.9,-63.54,0
2018-09-16,21,06PUO-115,1412.44,1516.09,-103.65,0
2018-09-16,22,06PUO-115,1413.12,1513.43,-100.31,0
2018-09-16,23,06PUO-115,1022.73,1089.26,-66.52,0
2018-09-16,24,06PUO-115,916.31,973.34,-57.03,0
2018-09-16,1,08COZ-34.5,1361.52,993.39,368.13,0
2018-09-16,2,08COZ-34.5,1293.56,619.44,228.84,445.27
2018-09-16,3,08COZ-34.5,1032.89,589.68,209.49,233.72
2018-09-16,4,08COZ-34.5,1024.56,581.44,201.5,241.62
2018-09-16,5,08COZ-34.5,776.83,575.54,201.29,0
2018-09-16,6,08COZ-34.5,2990.06,568.72,194.56,2226.78
2018-09-16,7,08COZ-34.5,745.97,558.52,187.45,0
2018-09-16,8,08COZ-34.5,731.11,553.79,177.32,0
2018-09-16,9,08COZ-34.5,730.21,551.13,179.76,-.68
2018-09-16,10,08COZ-34.5,2888.16,566.32,189.61,2132.24
2018-09-16,11,08COZ-34.5,3224.66,560.27,180.99,2483.39
2018-09-16,12,08COZ-34.5,3035.42,580.29,193.52,2261.61
2018-09-16,13,08COZ-34.5,761.81,573.98,190.15,-2.32
2018-09-16,14,08COZ-34.5,763.17,573.1,190.07,0
2018-09-16,15,08COZ-34.5,765.5,574.32,191.18,0
2018-09-16,16,08COZ-34.5,787.69,588.76,198.94,0
2018-09-16,17,08COZ-34.5,1020.42,755.78,264.64,0
2018-09-16,18,08COZ-34.5,1080.59,793.5,287.08,0
2018-09-16,19,08COZ-34.5,1078.76,790.94,287.83,0
2018-09-16,20,08COZ-34.5,2859.51,1016.9,368.62,1473.99
2018-09-16,21,08COZ-34.5,4395.92,1516.09,506.41,2373.41
2018-09-16,22,08COZ-34.5,6756.48,1513.43,488.72,4754.32
2018-09-16,23,08COZ-34.5,6923.84,1089.26,337.92,5496.67
2018-09-16,24,08COZ-34.5,3696.22,973.34,321.02,2401.87
2018-09-17,1,04EFU-115,972.45,890.52,66.91,15.02
2018-09-17,2,04EFU-115,799.13,729.56,39.78,29.8
2018-09-17,3,04EFU-115,676.4,655.99,20.4,0
2018-09-17,4,04EFU-115,706.17,696.43,9.75,0
2018-09-17,5,04EFU-115,635.09,631.78,3.32,0
2018-09-17,6,04EFU-115,718.8,719.98,-1.18,0
2018-09-17,7,04EFU-115,1315.84,1355.39,-39.56,0
2018-09-17,8,04EFU-115,1670.04,1742.86,-72.82,0
2018-09-17,9,04EFU-115,1808.44,1885.38,-76.94,0
2018-09-17,10,04EFU-115,2073.17,2212.92,-139.76,0
2018-09-17,11,04EFU-115,2095.11,2222.66,-127.56,0
2018-09-17,12,04EFU-115,2108.12,2213.02,-104.91,0
2018-09-17,13,04EFU-115,2134.1,2235.85,-101.76,0
2018-09-17,14,04EFU-115,2445.69,2544.3,-72.23,-26.39
2018-09-17,15,04EFU-115,2239.84,2269.87,-30.03,0
2018-09-17,16,04EFU-115,2353.34,2278.25,75.09,0
2018-09-17,17,04EFU-115,2398.88,2276.21,122.67,0
2018-09-17,18,04EFU-115,2381.96,2254.59,127.37,0
2018-09-17,19,04EFU-115,2342.5,2235.72,106.78,0
2018-09-17,20,04EFU-115,2304.35,2256.27,48.08,0
2018-09-17,21,04EFU-115,2343.94,2284.98,58.96,0
2018-09-17,22,04EFU-115,2353.02,2225.8,127.22,0
2018-09-17,23,04EFU-115,2275.96,2101.71,174.25,0
2018-09-17,24,04EFU-115,2191.21,2037.23,153.98,0
2018-09-17,1,06PUO-115,836.89,890.52,-53.1,-.52
2018-09-17,2,06PUO-115,686.88,729.56,-41.64,-1.04
2018-09-17,3,06PUO-115,618.73,655.99,-37.26,0
2018-09-17,4,06PUO-115,656.45,696.43,-39.98,0
2018-09-17,5,06PUO-115,596.22,631.78,-35.55,0
2018-09-17,6,06PUO-115,677.61,719.98,-42.38,0
2018-09-17,7,06PUO-115,1270.39,1355.39,-85,0
2018-09-17,8,06PUO-115,1627.21,1742.86,-115.66,0
2018-09-17,9,06PUO-115,1756.87,1885.38,-128.51,0
2018-09-17,10,06PUO-115,2061.61,2212.92,-151.32,0
2018-09-17,11,06PUO-115,2077.23,2222.66,-145.43,0
2018-09-17,12,06PUO-115,2068.32,2213.02,-144.7,0
2018-09-17,13,06PUO-115,2090.46,2235.85,-145.39,0
2018-09-17,14,06PUO-115,2381.04,2544.3,-162.03,-1.24
2018-09-17,15,06PUO-115,2128.22,2269.87,-141.66,0
2018-09-17,16,06PUO-115,2137.83,2278.25,-140.42,0
2018-09-17,17,06PUO-115,2141.56,2276.21,-134.65,0
2018-09-17,18,06PUO-115,2117.92,2254.59,-136.67,0
2018-09-17,19,06PUO-115,2097.6,2235.72,-138.12,0
2018-09-17,20,06PUO-115,2110.43,2256.27,-145.85,0
2018-09-17,21,06PUO-115,2140.83,2284.98,-144.15,0
2018-09-17,22,06PUO-115,2089.6,2225.8,-136.2,0
2018-09-17,23,06PUO-115,1977.91,2101.71,-123.8,0
2018-09-17,24,06PUO-115,1915.5,2037.23,-121.73,0
