Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-04-16,1,03STG-115,677.63,651.9,25.74,0
2018-04-16,2,03STG-115,558.07,538.36,19.71,0
2018-04-16,3,03STG-115,539.62,522.89,16.73,0
2018-04-16,4,03STG-115,531.62,515.82,15.79,0
2018-04-16,5,03STG-115,533.33,517.79,15.54,0
2018-04-16,6,03STG-115,542.49,524.65,17.83,0
2018-04-16,7,03STG-115,659.13,632.74,26.39,0
2018-04-16,8,03STG-115,844.72,806.01,38.71,0
2018-04-16,9,03STG-115,988.21,943.42,44.79,0
2018-04-16,10,03STG-115,1168.67,1115.07,53.6,0
2018-04-16,11,03STG-115,1519.61,1453.83,65.78,0
2018-04-16,12,03STG-115,1602.07,1531.78,70.3,0
2018-04-16,13,03STG-115,1598.69,1524.37,74.31,0
2018-04-16,14,03STG-115,1676.25,1596.77,79.48,0
2018-04-16,15,03STG-115,1745.08,1663.63,81.45,0
2018-04-16,16,03STG-115,1651.93,1573.93,78,0
2018-04-16,17,03STG-115,1654.31,1576.9,77.42,0
2018-04-16,18,03STG-115,1660.86,1583.44,77.42,0
2018-04-16,19,03STG-115,1605.28,1536.02,69.26,0
2018-04-16,20,03STG-115,1663.66,1593.16,70.5,0
2018-04-16,21,03STG-115,1627.86,1549.95,77.91,0
2018-04-16,22,03STG-115,1606.9,1526.54,77.9,2.46
2018-04-16,23,03STG-115,1574.64,1506.55,68.09,0
2018-04-16,24,03STG-115,1345.61,1296.62,48.99,0
2018-04-16,1,04PLD-230,571.52,651.9,-80.37,0
2018-04-16,2,04PLD-230,497.05,538.36,-41.31,0
2018-04-16,3,04PLD-230,481.46,522.89,-41.42,0
2018-04-16,4,04PLD-230,464.43,515.82,-51.4,0
2018-04-16,5,04PLD-230,465.08,517.79,-52.72,0
2018-04-16,6,04PLD-230,469.69,524.65,-54.97,0
2018-04-16,7,04PLD-230,498.49,632.74,-77.55,-56.7
2018-04-16,8,04PLD-230,495.09,806.01,-73.74,-237.18
2018-04-16,9,04PLD-230,512.33,943.42,-84.58,-346.52
2018-04-16,10,04PLD-230,519.24,1115.07,-113.87,-481.96
2018-04-16,11,04PLD-230,526.71,1453.83,-168.15,-758.96
2018-04-16,12,04PLD-230,1287.31,1531.78,-145.69,-98.78
2018-04-16,13,04PLD-230,1403.73,1524.37,-120.65,0
2018-04-16,14,04PLD-230,1507.54,1596.77,-89.23,0
2018-04-16,15,04PLD-230,1597.88,1663.63,-65.75,0
2018-04-16,16,04PLD-230,1544.22,1573.93,-29.71,0
2018-04-16,17,04PLD-230,1567.44,1576.9,-9.46,0
2018-04-16,18,04PLD-230,1584.87,1583.44,1.43,0
2018-04-16,19,04PLD-230,1503.99,1536.02,-32.03,0
2018-04-16,20,04PLD-230,1532.85,1593.16,-60.31,0
2018-04-16,21,04PLD-230,1493.14,1549.95,-56.82,0
2018-04-16,22,04PLD-230,1574.84,1526.54,-23.67,71.97
2018-04-16,23,04PLD-230,1452.17,1506.55,-54.38,0
2018-04-16,24,04PLD-230,1264.21,1296.62,-32.42,0
2018-04-16,1,08CHS-34.5,761.69,651.9,109.79,0
2018-04-16,2,08CHS-34.5,620.43,538.36,82.08,0
2018-04-16,3,08CHS-34.5,592.45,522.89,69.56,0
2018-04-16,4,08CHS-34.5,578.38,515.82,62.56,0
2018-04-16,5,08CHS-34.5,580.79,517.79,62.99,0
2018-04-16,6,08CHS-34.5,583.49,524.65,58.84,0
2018-04-16,7,08CHS-34.5,709.42,632.74,76.69,0
2018-04-16,8,08CHS-34.5,905.23,806.01,99.22,0
2018-04-16,9,08CHS-34.5,1091.06,943.42,147.64,0
2018-04-16,10,08CHS-34.5,1283.76,1115.07,168.69,0
2018-04-16,11,08CHS-34.5,1706.82,1453.83,252.99,0
2018-04-16,12,08CHS-34.5,1780.88,1531.78,249.1,0
2018-04-16,13,08CHS-34.5,1754.25,1524.37,229.88,0
2018-04-16,14,08CHS-34.5,1830.11,1596.77,233.34,0
2018-04-16,15,08CHS-34.5,1877.68,1663.63,214.05,0
2018-04-16,16,08CHS-34.5,1741.49,1573.93,167.56,0
2018-04-16,17,08CHS-34.5,1740.09,1576.9,163.2,0
2018-04-16,18,08CHS-34.5,1742.7,1583.44,159.27,0
2018-04-16,19,08CHS-34.5,1733.35,1536.02,197.32,0
2018-04-16,20,08CHS-34.5,1822.63,1593.16,229.47,0
2018-04-16,21,08CHS-34.5,1743.34,1549.95,193.39,0
2018-04-16,22,08CHS-34.5,1716.86,1526.54,191.2,-.89
2018-04-16,23,08CHS-34.5,1705.77,1506.55,199.22,0
2018-04-16,24,08CHS-34.5,1502.87,1296.62,206.25,0
2018-04-17,1,03STG-115,1025.28,986.76,38.52,0
2018-04-17,2,03STG-115,863.43,830.3,33.13,0
2018-04-17,3,03STG-115,845.11,814.61,30.5,0
2018-04-17,4,03STG-115,817.65,789.23,28.43,0
2018-04-17,5,03STG-115,803.38,775.35,28.03,0
2018-04-17,6,03STG-115,819.79,790.94,28.86,0
2018-04-17,7,03STG-115,899.32,864.31,35,0
2018-04-17,8,03STG-115,1020.66,980.29,40.37,0
2018-04-17,9,03STG-115,1217.86,1168.88,48.99,0
2018-04-17,10,03STG-115,1649.13,1584.96,64.17,0
2018-04-17,11,03STG-115,1706.09,1636.08,70.01,0
2018-04-17,12,03STG-115,1763.71,1689.05,74.67,0
2018-04-17,13,03STG-115,1751.23,1674.12,77.11,0
2018-04-17,14,03STG-115,1746.44,1671.54,74.9,0
