Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-08-01,1,03STG-115,2187.86,2136.01,51.85,0
2018-08-01,2,03STG-115,2125.43,2070.88,54.55,0
2018-08-01,3,03STG-115,2122.55,2069.19,53.36,0
2018-08-01,4,03STG-115,2105.76,2047.95,57.81,0
2018-08-01,5,03STG-115,2110.16,2048.59,61.57,0
2018-08-01,6,03STG-115,2055.37,1999.73,55.64,0
2018-08-01,7,03STG-115,2193.79,2138.42,55.37,0
2018-08-01,8,03STG-115,2149.99,2091.67,58.32,0
2018-08-01,9,03STG-115,2149.44,2083.47,65.98,0
2018-08-01,10,03STG-115,2108.17,2044.57,63.6,0
2018-08-01,11,03STG-115,2065.21,2003.37,61.84,0
2018-08-01,12,03STG-115,2144.85,2078.47,66.38,0
2018-08-01,13,03STG-115,2164.13,2094.11,70.02,0
2018-08-01,14,03STG-115,2171.5,2103.33,68.16,0
2018-08-01,15,03STG-115,2169.99,2107.16,62.83,0
2018-08-01,16,03STG-115,2191.23,2127.32,63.91,0
2018-08-01,17,03STG-115,2186.98,2124.13,62.85,0
2018-08-01,18,03STG-115,2150.84,2094.47,56.38,0
2018-08-01,19,03STG-115,2148.03,2089.15,58.89,0
2018-08-01,20,03STG-115,2122.37,2061.21,61.17,0
2018-08-01,21,03STG-115,2169.38,2108.34,61.04,0
2018-08-01,22,03STG-115,2129.3,2065.19,64.11,0
2018-08-01,23,03STG-115,2141.81,2079.66,62.15,0
2018-08-01,24,03STG-115,2103.7,2046.15,57.54,0
2018-08-01,1,04PLD-230,1988.84,2136.01,104.66,-251.83
2018-08-01,2,04PLD-230,1257.67,2070.88,73.95,-887.16
2018-08-01,3,04PLD-230,427.65,2069.19,296.01,-1937.55
2018-08-01,4,04PLD-230,406.85,2047.95,278.28,-1919.38
2018-08-01,5,04PLD-230,395.87,2048.59,273.97,-1926.69
2018-08-01,6,04PLD-230,550.98,1999.73,-63.57,-1385.17
2018-08-01,7,04PLD-230,564.81,2138.42,-128.71,-1444.9
2018-08-01,8,04PLD-230,1455.63,2091.67,-93.65,-542.4
2018-08-01,9,04PLD-230,529.8,2083.47,-133.79,-1419.87
2018-08-01,10,04PLD-230,548.21,2044.57,-129.82,-1366.54
2018-08-01,11,04PLD-230,1393.18,2003.37,-103.82,-506.37
2018-08-01,12,04PLD-230,1977.09,2078.47,-84.43,-16.94
2018-08-01,13,04PLD-230,2072.17,2094.11,-21.94,0
2018-08-01,14,04PLD-230,2142.13,2103.33,38.8,0
2018-08-01,15,04PLD-230,2249.69,2107.16,142.53,0
2018-08-01,16,04PLD-230,2386.16,2127.32,258.84,0
2018-08-01,17,04PLD-230,2433.35,2124.13,309.22,0
2018-08-01,18,04PLD-230,2385.32,2094.47,290.85,0
2018-08-01,19,04PLD-230,2365.36,2089.15,276.22,0
2018-08-01,20,04PLD-230,2296.63,2061.21,235.42,0
2018-08-01,21,04PLD-230,2275.22,2108.34,166.88,0
2018-08-01,22,04PLD-230,2245.03,2065.19,179.84,0
2018-08-01,23,04PLD-230,2312.51,2079.66,232.85,0
2018-08-01,24,04PLD-230,2263.12,2046.15,216.96,0
2018-08-01,1,08CHS-34.5,2503.58,2136.01,367.58,0
2018-08-01,2,08CHS-34.5,2435.09,2070.88,364.21,0
2018-08-01,3,08CHS-34.5,2422.07,2069.19,352.87,0
