Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-12-16,1,03STG-115,572.41,368.01,5.18,199.22
2019-12-16,2,03STG-115,512.76,472.22,6.05,34.5
2019-12-16,3,03STG-115,496.41,487.41,5.59,3.41
2019-12-16,4,03STG-115,467.23,462.31,2.17,2.75
2019-12-16,5,03STG-115,486.11,478.81,4.01,3.29
2019-12-16,6,03STG-115,494.26,486.2,4.96,3.1
2019-12-16,7,03STG-115,638.01,617.43,12.92,7.66
2019-12-16,8,03STG-115,732.33,703.33,18.68,10.32
2019-12-16,9,03STG-115,756.46,623.34,18.15,114.96
2019-12-16,10,03STG-115,764.49,633.7,18.3,112.49
2019-12-16,11,03STG-115,622.62,336.27,10.32,276.04
2019-12-16,12,03STG-115,643.36,335.61,10.11,297.65
2019-12-16,13,03STG-115,770.75,552.8,16.6,201.35
2019-12-16,14,03STG-115,822.39,610.55,17.76,194.08
2019-12-16,15,03STG-115,835.94,649.73,18.93,167.28
2019-12-16,16,03STG-115,801.94,545.15,15.41,241.39
2019-12-16,17,03STG-115,1079.19,1021.06,23.54,34.59
2019-12-16,18,03STG-115,1116.61,1075.82,24.19,16.6
2019-12-16,19,03STG-115,1120.54,1077.4,26.8,16.34
2019-12-16,20,03STG-115,1144.27,1095.26,31.47,17.54
2019-12-16,21,03STG-115,1111.95,1081.9,28.26,1.79
2019-12-16,22,03STG-115,1091.43,1065.75,25.79,-.11
2019-12-16,23,03STG-115,1091.96,1066.29,24.63,1.04
2019-12-16,24,03STG-115,1049.23,1030.44,17.11,1.68
2019-12-16,1,04PLD-230,298.93,368.01,-88.71,19.63
2019-12-16,2,04PLD-230,287.54,472.22,-114.12,-70.55
2019-12-16,3,04PLD-230,280.91,487.41,-119.16,-87.34
2019-12-16,4,04PLD-230,271.01,462.31,-114.98,-76.32
2019-12-16,5,04PLD-230,273.15,478.81,-117.6,-88.06
2019-12-16,6,04PLD-230,273.77,486.2,-118.61,-93.81
2019-12-16,7,04PLD-230,297.3,617.43,-145.14,-174.99
2019-12-16,8,04PLD-230,334.41,703.33,-160.95,-207.97
2019-12-16,9,04PLD-230,326.28,623.34,-149.41,-147.65
2019-12-16,10,04PLD-230,239.98,633.7,-180.99,-212.73
2019-12-16,11,04PLD-230,214.24,336.27,-103.79,-18.24
2019-12-16,12,04PLD-230,185.45,335.61,-100.34,-49.82
2019-12-16,13,04PLD-230,216.53,552.8,-165.72,-170.55
2019-12-16,14,04PLD-230,211.54,610.55,-178.45,-220.56
2019-12-16,15,04PLD-230,203.88,649.73,-198.07,-247.78
2019-12-16,16,04PLD-230,204.93,545.15,-167.2,-173.01
2019-12-16,17,04PLD-230,187.11,1021.06,-310.65,-523.3
2019-12-16,18,04PLD-230,259.16,1075.82,-239.13,-577.52
2019-12-16,19,04PLD-230,403.86,1077.4,-190.65,-482.89
2019-12-16,20,04PLD-230,409.82,1095.26,-190.9,-494.54
2019-12-16,21,04PLD-230,404.08,1081.9,-192.35,-485.48
2019-12-16,22,04PLD-230,414.32,1065.75,-202.96,-448.47
2019-12-16,23,04PLD-230,386.35,1066.29,-210.2,-469.74
2019-12-16,24,04PLD-230,359.6,1030.44,-196.68,-474.17
2019-12-16,1,08CHS-34.5,1009.72,368.01,116.83,524.88
2019-12-16,2,08CHS-34.5,690.81,472.22,139.47,79.13
2019-12-16,3,08CHS-34.5,619.67,487.41,137.16,-4.9
2019-12-16,4,08CHS-34.5,580.22,462.31,121.85,-3.93
2019-12-16,5,08CHS-34.5,601.06,478.81,126.93,-4.67
2019-12-16,6,08CHS-34.5,610.75,486.2,129.27,-4.71
2019-12-16,7,08CHS-34.5,762.84,617.43,154.35,-8.94
2019-12-16,8,08CHS-34.5,860.92,703.33,169.2,-11.61
2019-12-16,9,08CHS-34.5,1284.06,623.34,184.45,476.26
2019-12-16,10,08CHS-34.5,3987.78,633.7,177.64,3176.45
2019-12-16,11,08CHS-34.5,3999.22,336.27,93.7,3569.25
2019-12-16,12,08CHS-34.5,4005.06,335.61,86.48,3582.97
2019-12-16,13,08CHS-34.5,1237.15,552.8,165.98,518.38
2019-12-16,14,08CHS-34.5,1264.49,610.55,162.68,491.25
2019-12-16,15,08CHS-34.5,1254,649.73,189.65,414.63
2019-12-16,16,08CHS-34.5,1311.15,545.15,140.49,625.52
2019-12-16,17,08CHS-34.5,1301.32,1021.06,266.17,14.1
2019-12-16,18,08CHS-34.5,1297.77,1075.82,246.38,-24.43
2019-12-16,19,08CHS-34.5,1309.99,1077.4,256.63,-24.04
2019-12-16,20,08CHS-34.5,1313.13,1095.26,243.68,-25.81
2019-12-16,21,08CHS-34.5,1309.76,1081.9,242.41,-14.56
2019-12-16,22,08CHS-34.5,1314.29,1065.75,261.7,-13.17
2019-12-16,23,08CHS-34.5,1326.53,1066.29,273.67,-13.44
2019-12-16,24,08CHS-34.5,1313.03,1030.44,295.91,-13.32
2019-12-17,1,03STG-115,874.92,808.57,13.01,53.35
2019-12-17,2,03STG-115,826.86,750.51,11.84,64.5
2019-12-17,3,03STG-115,764.08,747.97,13.3,2.81
2019-12-17,4,03STG-115,716.28,698.67,13.48,4.13
2019-12-17,5,03STG-115,712.32,694.15,13.98,4.19
2019-12-17,6,03STG-115,784.59,767.8,13.88,2.91
2019-12-17,7,03STG-115,878.19,812.72,14.79,50.68
2019-12-17,8,03STG-115,857.36,736.39,17.25,103.72
2019-12-17,9,03STG-115,636.99,414.35,10.74,211.9
2019-12-17,10,03STG-115,810.84,688.11,19.68,103.05
2019-12-17,11,03STG-115,797.73,779.37,25.3,-6.94
2019-12-17,12,03STG-115,777.43,759.3,24.98,-6.85
2019-12-17,13,03STG-115,791.34,772.53,25.68,-6.87
2019-12-17,14,03STG-115,799.32,779.05,27.23,-6.95
2019-12-17,15,03STG-115,777.18,757.66,26.47,-6.96
2019-12-17,16,03STG-115,800.47,779.66,28.06,-7.25
2019-12-17,17,03STG-115,907.16,886.37,30.2,-9.41
2019-12-17,18,03STG-115,1051.81,1031.54,32.38,-12.11
2019-12-17,19,03STG-115,1036.13,999.43,34.56,2.15
2019-12-17,20,03STG-115,1171.83,1114.24,39.87,17.72
2019-12-17,21,03STG-115,1147.32,1090.96,39.08,17.28
2019-12-17,22,03STG-115,1051.29,1000.54,35.72,15.03
2019-12-17,23,03STG-115,835.11,797.07,28.15,9.9
2019-12-17,24,03STG-115,779.53,748.36,22.21,8.95
2019-12-17,1,04PLD-230,363.89,808.57,-165.86,-278.82
2019-12-17,2,04PLD-230,380.08,750.51,-161.51,-208.93
2019-12-17,3,04PLD-230,367.28,747.97,-159.53,-221.16
2019-12-17,4,04PLD-230,358.64,698.67,-152.97,-187.07
2019-12-17,5,04PLD-230,358.88,694.15,-151.93,-183.34
2019-12-17,6,04PLD-230,356.8,767.8,-171.58,-239.42
2019-12-17,7,04PLD-230,372.2,812.72,-171.12,-269.39
2019-12-17,8,04PLD-230,380.17,736.39,-142.01,-214.21
2019-12-17,9,04PLD-230,356.4,414.35,-78.08,20.13
2019-12-17,10,04PLD-230,240.08,688.11,-177.83,-270.2
2019-12-17,11,04PLD-230,192.21,779.37,-194.19,-392.97
2019-12-17,12,04PLD-230,4.53,759.3,-183.32,-571.46
2019-12-17,13,04PLD-230,201.24,772.53,-182.7,-388.59
2019-12-17,14,04PLD-230,202.07,779.05,-190.75,-386.23
2019-12-17,15,04PLD-230,195.27,757.66,-188.21,-374.18
2019-12-17,16,04PLD-230,188.42,779.66,-203.29,-387.94
2019-12-17,17,04PLD-230,186.44,886.37,-220.43,-479.5
2019-12-17,18,04PLD-230,327.44,1031.54,-224.18,-479.92
2019-12-17,19,04PLD-230,681.91,999.43,-98.19,-219.34
2019-12-17,20,04PLD-230,756.73,1114.24,-83.61,-273.89
2019-12-17,21,04PLD-230,745.08,1090.96,-78.78,-267.09
