Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-01-01,1,03STG-115,622.94,610.98,11.96,0
2018-01-01,2,03STG-115,620.5,609.02,11.48,0
2018-01-01,3,03STG-115,593.13,585.06,8.07,0
2018-01-01,4,03STG-115,589.93,583.05,6.89,0
2018-01-01,5,03STG-115,559.35,556.66,2.69,0
2018-01-01,6,03STG-115,550.32,547.03,3.29,0
2018-01-01,7,03STG-115,494.88,490.84,4.04,0
2018-01-01,8,03STG-115,471.61,469.93,1.68,0
2018-01-01,9,03STG-115,483.17,482.05,1.11,0
2018-01-01,10,03STG-115,583.44,578.34,5.1,0
2018-01-01,11,03STG-115,598.42,591.02,7.4,0
2018-01-01,12,03STG-115,603.48,595.8,7.67,0
2018-01-01,13,03STG-115,611.92,600.6,11.32,0
2018-01-01,14,03STG-115,612.26,601.38,10.88,0
2018-01-01,15,03STG-115,611.32,599.45,11.87,0
2018-01-01,16,03STG-115,604.75,593.46,11.29,0
2018-01-01,17,03STG-115,608.8,596.1,12.71,0
2018-01-01,18,03STG-115,618.51,604.61,13.9,0
2018-01-01,19,03STG-115,669.28,649.21,20.08,0
2018-01-01,20,03STG-115,831.02,803.46,27.56,0
2018-01-01,21,03STG-115,860.03,831.88,28.15,0
2018-01-01,22,03STG-115,851.18,824.1,27.08,0
2018-01-01,23,03STG-115,754.45,729.71,24.73,0
2018-01-01,24,03STG-115,650.04,631.72,18.32,0
2018-01-01,1,04PLD-230,553.56,610.98,-57.42,0
2018-01-01,2,04PLD-230,550.12,609.02,-58.9,0
2018-01-01,3,04PLD-230,524.06,585.06,-61,0
2018-01-01,4,04PLD-230,519.57,583.05,-63.48,0
2018-01-01,5,04PLD-230,490.72,556.66,-65.94,0
2018-01-01,6,04PLD-230,479.23,547.03,-67.81,0
2018-01-01,7,04PLD-230,430.68,490.84,-60.16,0
2018-01-01,8,04PLD-230,430.12,469.93,-39.81,0
2018-01-01,9,04PLD-230,423.57,482.05,-58.48,0
2018-01-01,10,04PLD-230,550.62,578.34,-27.72,0
2018-01-01,11,04PLD-230,567.6,591.02,-23.42,0
2018-01-01,12,04PLD-230,578.41,595.8,-17.39,0
2018-01-01,13,04PLD-230,594.61,600.6,-5.99,0
2018-01-01,14,04PLD-230,595.92,601.38,-5.46,0
2018-01-01,15,04PLD-230,593.06,599.45,-6.39,0
2018-01-01,16,04PLD-230,582.51,593.46,-10.95,0
2018-01-01,17,04PLD-230,588.42,596.1,-7.68,0
2018-01-01,18,04PLD-230,599.04,604.61,-5.56,0
2018-01-01,19,04PLD-230,597.32,649.21,-51.89,0
2018-01-01,20,04PLD-230,726.53,803.46,-76.93,0
2018-01-01,21,04PLD-230,751.94,831.88,-79.94,0
2018-01-01,22,04PLD-230,744.16,824.1,-79.94,0
2018-01-01,23,04PLD-230,658.44,729.71,-71.27,0
2018-01-01,24,04PLD-230,593,631.72,-38.71,0
2018-01-01,1,08CHS-34.5,749,610.98,138.02,0
2018-01-01,2,08CHS-34.5,744.56,609.02,135.54,0
2018-01-01,3,08CHS-34.5,713.1,585.06,128.04,0
2018-01-01,4,08CHS-34.5,702.49,583.05,119.44,0
2018-01-01,5,08CHS-34.5,667.96,556.66,111.29,0
2018-01-01,6,08CHS-34.5,652.18,547.03,105.15,0
2018-01-01,7,08CHS-34.5,559.13,490.84,68.29,0
2018-01-01,8,08CHS-34.5,540.07,469.93,70.14,0
2018-01-01,9,08CHS-34.5,564.82,482.05,82.76,0
2018-01-01,10,08CHS-34.5,679.9,578.34,101.56,0
2018-01-01,11,08CHS-34.5,700.46,591.02,109.44,0
2018-01-01,12,08CHS-34.5,705.75,595.8,109.95,0
2018-01-01,13,08CHS-34.5,709.32,600.6,108.72,0
2018-01-01,14,08CHS-34.5,709.41,601.38,108.03,0
2018-01-01,15,08CHS-34.5,691.84,599.45,92.39,0
2018-01-01,16,08CHS-34.5,686.54,593.46,93.08,0
2018-01-01,17,08CHS-34.5,684.04,596.1,87.94,0
2018-01-01,18,08CHS-34.5,710.15,604.61,105.55,0
2018-01-01,19,08CHS-34.5,766.91,649.21,117.7,0
2018-01-01,20,08CHS-34.5,945.58,803.46,142.11,0
2018-01-01,21,08CHS-34.5,985.67,831.88,153.79,0
2018-01-01,22,08CHS-34.5,966.69,824.1,142.6,0
2018-01-01,23,08CHS-34.5,850.69,729.71,120.98,0
2018-01-01,24,08CHS-34.5,732.86,631.72,101.15,0
2018-01-02,1,03STG-115,631.5,616.52,14.98,0
2018-01-02,2,03STG-115,622.16,609,13.16,0
2018-01-02,3,03STG-115,620.4,608.18,12.22,0
2018-01-02,4,03STG-115,616.64,605.74,10.9,0
2018-01-02,5,03STG-115,626.21,613.3,12.91,0
2018-01-02,6,03STG-115,627.33,613.75,13.58,0
2018-01-02,7,03STG-115,753.18,731.19,22,0
2018-01-02,8,03STG-115,989.15,957.12,32.03,0
2018-01-02,9,03STG-115,1318.11,1266.16,51.95,0
2018-01-02,10,03STG-115,1452.56,1389.12,63.45,0
2018-01-02,11,03STG-115,1491.36,1430.27,61.09,0
2018-01-02,12,03STG-115,1540.74,1482.82,57.92,0
2018-01-02,13,03STG-115,1621.56,1559.36,62.2,0
2018-01-02,14,03STG-115,1553.89,1497.32,56.56,0
2018-01-02,15,03STG-115,1684.51,1626,58.51,0
2018-01-02,16,03STG-115,1556.39,1497.6,58.8,0
2018-01-02,17,03STG-115,1434.24,1375.06,59.18,0
2018-01-02,18,03STG-115,1476.73,1419.4,57.33,0
2018-01-02,19,03STG-115,1428.18,1373.36,54.82,0
2018-01-02,20,03STG-115,1476.42,1411.69,64.73,0
2018-01-02,21,03STG-115,1488,1419.13,68.87,0
2018-01-02,22,03STG-115,1450.18,1389.18,61,0
2018-01-02,23,03STG-115,1477.31,1419.36,57.95,0
2018-01-02,24,03STG-115,1464.47,1409.39,55.08,0
2018-01-02,1,04PLD-230,595.02,616.52,-21.49,0
2018-01-02,2,04PLD-230,583.19,609,-25.8,0
2018-01-02,3,04PLD-230,580.05,608.18,-28.12,0
2018-01-02,4,04PLD-230,576.87,605.74,-28.88,0
2018-01-02,5,04PLD-230,580.92,613.3,-32.38,0
2018-01-02,6,04PLD-230,574.51,613.75,-39.24,0
2018-01-02,7,04PLD-230,592.22,731.19,-123.66,-15.3
2018-01-02,8,04PLD-230,720.23,957.12,-127.74,-109.16
2018-01-02,9,04PLD-230,737.94,1266.16,-97.59,-430.64
2018-01-02,10,04PLD-230,752.77,1389.12,-36.97,-599.38
2018-01-02,11,04PLD-230,754.57,1430.27,-71.34,-604.36
2018-01-02,12,04PLD-230,751.15,1482.82,-58.68,-672.98
2018-01-02,13,04PLD-230,816.74,1559.36,-147.19,-595.43
2018-01-02,14,04PLD-230,785.02,1497.32,-137.37,-574.93
2018-01-02,15,04PLD-230,829.27,1626,-148.33,-648.4
2018-01-02,16,04PLD-230,800.06,1497.6,-157.8,-539.74
2018-01-02,17,04PLD-230,769.24,1375.06,-170.75,-435.08
2018-01-02,18,04PLD-230,765.8,1419.4,-203.62,-449.98
2018-01-02,19,04PLD-230,762.74,1373.36,-208.37,-402.25
2018-01-02,20,04PLD-230,758.01,1411.69,-186.88,-466.81
2018-01-02,21,04PLD-230,761.53,1419.13,-161.81,-495.79
2018-01-02,22,04PLD-230,779.7,1389.18,-186.35,-423.14
2018-01-02,23,04PLD-230,787.9,1419.36,-100.31,-531.16
2018-01-02,24,04PLD-230,745.5,1409.39,-34.46,-629.43
2018-01-02,1,08CHS-34.5,709.57,616.52,93.05,0
2018-01-02,2,08CHS-34.5,697.65,609,88.65,0
2018-01-02,3,08CHS-34.5,699.07,608.18,90.89,0
2018-01-02,4,08CHS-34.5,691.4,605.74,85.66,0
2018-01-02,5,08CHS-34.5,701.46,613.3,88.17,0
2018-01-02,6,08CHS-34.5,703.91,613.75,90.16,0
2018-01-02,7,08CHS-34.5,831.81,731.19,100.63,0
2018-01-02,8,08CHS-34.5,1079.49,957.12,122.37,0
2018-01-02,9,08CHS-34.5,1362.56,1266.16,96.39,0
2018-01-02,10,08CHS-34.5,1445.02,1389.12,55.91,0
2018-01-02,11,08CHS-34.5,1503.96,1430.27,73.7,0
2018-01-02,12,08CHS-34.5,1554.75,1482.82,71.93,0
2018-01-02,13,08CHS-34.5,1636.88,1559.36,77.52,0
2018-01-02,14,08CHS-34.5,1588.72,1497.32,91.4,0
2018-01-02,15,08CHS-34.5,1732.83,1626,106.83,0
2018-01-02,16,08CHS-34.5,1548.9,1497.6,51.31,0
2018-01-02,17,08CHS-34.5,1430.1,1375.06,55.04,0
2018-01-02,18,08CHS-34.5,1534.2,1419.4,114.8,0
2018-01-02,19,08CHS-34.5,1507.96,1373.36,134.59,0
2018-01-02,20,08CHS-34.5,1526.76,1411.69,115.07,0
2018-01-02,21,08CHS-34.5,1508.72,1419.13,89.6,0
2018-01-02,22,08CHS-34.5,1520.34,1389.18,131.16,0
2018-01-02,23,08CHS-34.5,1569.31,1419.36,149.94,0
2018-01-02,24,08CHS-34.5,1527.16,1409.39,117.77,0
2018-01-03,1,03STG-115,1408.31,1364.6,43.71,0
2018-01-03,2,03STG-115,1219.56,1182.52,37.04,0
2018-01-03,3,03STG-115,1103.83,1072.57,31.25,0
2018-01-03,4,03STG-115,940.18,914.85,25.34,0
2018-01-03,5,03STG-115,959.34,931.99,27.35,0
2018-01-03,6,03STG-115,1133.31,1098.81,34.5,0
2018-01-03,7,03STG-115,1313.75,1270.24,43.51,0
2018-01-03,8,03STG-115,1309.05,1259.95,49.1,0
2018-01-03,9,03STG-115,1311.96,1259.26,52.7,0
2018-01-03,10,03STG-115,1448.59,1389.24,59.36,0
2018-01-03,11,03STG-115,1473.97,1413.52,60.46,0
2018-01-03,12,03STG-115,1467.72,1407.1,60.62,0
2018-01-03,13,03STG-115,1475.42,1413.64,61.79,0
2018-01-03,14,03STG-115,1470.56,1408.68,61.88,0
2018-01-03,15,03STG-115,1414.83,1356.37,58.46,0
2018-01-03,16,03STG-115,1458.07,1398.63,59.43,0
2018-01-03,17,03STG-115,1479.35,1421.5,57.84,0
2018-01-03,18,03STG-115,1468.09,1410.35,57.74,0
2018-01-03,19,03STG-115,1472.87,1415.4,57.47,0
2018-01-03,20,03STG-115,1496.74,1432.25,64.49,0
2018-01-03,21,03STG-115,1507.85,1445.88,61.97,0
2018-01-03,22,03STG-115,1471.36,1408.49,62.87,0
2018-01-03,23,03STG-115,1465.98,1403.61,62.37,0
2018-01-03,24,03STG-115,1294.85,1246.22,48.63,0
2018-01-03,1,04PLD-230,763.75,1364.6,-94.95,-505.9
2018-01-03,2,04PLD-230,694.91,1182.52,-102.82,-384.79
2018-01-03,3,04PLD-230,706.13,1072.57,-113.61,-252.84
2018-01-03,4,04PLD-230,687.81,914.85,-105.06,-121.98
2018-01-03,5,04PLD-230,656.06,931.99,-110.19,-165.74
2018-01-03,6,04PLD-230,697.36,1098.81,-117.31,-284.14
2018-01-03,7,04PLD-230,703.05,1270.24,-110.3,-456.89
2018-01-03,8,04PLD-230,730.69,1259.95,-54.5,-474.77
2018-01-03,9,04PLD-230,757.85,1259.26,-14,-487.41
2018-01-03,10,04PLD-230,739.8,1389.24,-42.8,-606.63
2018-01-03,11,04PLD-230,766.4,1413.52,-61.23,-585.89
2018-01-03,12,04PLD-230,740.53,1407.1,-77.06,-589.51
2018-01-03,13,04PLD-230,867.43,1413.64,-84.12,-462.09
2018-01-03,14,04PLD-230,867.78,1408.68,-94.39,-446.5
2018-01-03,15,04PLD-230,949.91,1356.37,-121.86,-284.6
2018-01-03,16,04PLD-230,886.19,1398.63,-117.65,-394.79
2018-01-03,17,04PLD-230,890.78,1421.5,-126.3,-404.42
2018-01-03,18,04PLD-230,882.73,1410.35,-124.15,-403.47
2018-01-03,19,04PLD-230,875.73,1415.4,-111.36,-428.3
2018-01-03,20,04PLD-230,899.65,1432.25,-84.3,-448.3
2018-01-03,21,04PLD-230,894.56,1445.88,-75.03,-476.28
2018-01-03,22,04PLD-230,845.25,1408.49,-61.75,-501.49
2018-01-03,23,04PLD-230,789.54,1403.61,26,-640.06
2018-01-03,24,04PLD-230,771.32,1246.22,16.46,-491.36
2018-01-03,1,08CHS-34.5,1525.32,1364.6,160.71,0
2018-01-03,2,08CHS-34.5,1318.6,1182.52,136.08,0
2018-01-03,3,08CHS-34.5,1191.83,1072.57,119.26,0
2018-01-03,4,08CHS-34.5,1024.74,914.85,109.89,0
2018-01-03,5,08CHS-34.5,1049.01,931.99,117.02,0
2018-01-03,6,08CHS-34.5,1230.32,1098.81,131.52,0
