Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-02-16,1,03STG-115,951.38,934.36,17.01,0
2018-02-16,2,03STG-115,819.86,804.8,15.05,0
2018-02-16,3,03STG-115,767.44,753.92,12.98,.54
2018-02-16,4,03STG-115,743.19,731.5,11.26,.42
2018-02-16,5,03STG-115,747.85,736.76,10.59,.5
2018-02-16,6,03STG-115,833.52,818.25,15.27,0
2018-02-16,7,03STG-115,966.09,948.51,17.59,0
2018-02-16,8,03STG-115,1340.91,1315.42,25.49,0
2018-02-16,9,03STG-115,1571.73,1537.7,34.2,-.16
2018-02-16,10,03STG-115,1666.59,1634.53,32.05,0
2018-02-16,11,03STG-115,1687.54,1655.01,32.53,0
2018-02-16,12,03STG-115,1861.98,1824.57,37.41,0
2018-02-16,13,03STG-115,1848.06,1805.71,42.36,0
2018-02-16,14,03STG-115,1781.83,1740.21,41.62,0
2018-02-16,15,03STG-115,1829.21,1785.76,43.45,0
2018-02-16,16,03STG-115,1655.91,1616.01,39.9,0
2018-02-16,17,03STG-115,1628.07,1589.31,38.76,0
2018-02-16,18,03STG-115,1564.38,1523.75,40.63,0
2018-02-16,19,03STG-115,1567.63,1529.23,38.4,0
2018-02-16,20,03STG-115,1634.35,1587.09,47.26,0
2018-02-16,21,03STG-115,1686.59,1642.44,44.15,0
2018-02-16,22,03STG-115,1616.02,1578.39,37.62,0
2018-02-16,23,03STG-115,1607.76,1569.85,37.9,0
2018-02-16,24,03STG-115,1601.58,1569.2,32.37,0
2018-02-16,1,04PLD-230,623.86,934.36,-177.18,-133.33
2018-02-16,2,04PLD-230,588.91,804.8,-166.99,-48.91
2018-02-16,3,04PLD-230,502.59,753.92,-150.47,-100.87
2018-02-16,4,04PLD-230,501.07,731.5,-150.66,-79.77
2018-02-16,5,04PLD-230,486.36,736.76,-155.62,-94.77
2018-02-16,6,04PLD-230,561.5,818.25,-170.07,-86.68
2018-02-16,7,04PLD-230,570.4,948.51,-188.52,-189.59
2018-02-16,8,04PLD-230,651.27,1315.42,-253.81,-410.34
2018-02-16,9,04PLD-230,657.46,1537.7,-271.05,-609.2
2018-02-16,10,04PLD-230,633.97,1634.53,-257.36,-743.21
2018-02-16,11,04PLD-230,644.72,1655.01,-261.9,-748.39
2018-02-16,12,04PLD-230,658.17,1824.57,-295.43,-870.97
2018-02-16,13,04PLD-230,643.62,1805.71,-341.8,-820.29
2018-02-16,14,04PLD-230,629.82,1740.21,-291.65,-818.74
2018-02-16,15,04PLD-230,638.79,1785.76,-301,-845.97
2018-02-16,16,04PLD-230,668.57,1616.01,-222.56,-724.88
2018-02-16,17,04PLD-230,625.18,1589.31,-238.61,-725.52
2018-02-16,18,04PLD-230,616.31,1523.75,-242.67,-664.76
2018-02-16,19,04PLD-230,624.26,1529.23,-221.09,-683.88
2018-02-16,20,04PLD-230,637.7,1587.09,-223.95,-725.44
2018-02-16,21,04PLD-230,642.24,1642.44,-241.81,-758.4
2018-02-16,22,04PLD-230,627.39,1578.39,-241,-710.01
2018-02-16,23,04PLD-230,643.57,1569.85,-245.96,-680.33
2018-02-16,24,04PLD-230,650.96,1569.2,-214.59,-703.66
