Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-07-01,1,03STG-115,1074.03,1035.34,25.68,13.01
2019-07-01,2,03STG-115,862.34,834.1,21.76,6.49
2019-07-01,3,03STG-115,888.71,822.85,20.87,44.99
2019-07-01,4,03STG-115,849.49,788.14,20,41.35
2019-07-01,5,03STG-115,723.84,681.26,17.78,24.79
2019-07-01,6,03STG-115,744.66,720.04,19.28,5.34
2019-07-01,7,03STG-115,786.92,763.9,23.02,0
2019-07-01,8,03STG-115,820.73,796.77,23.96,0
2019-07-01,9,03STG-115,843.03,819.37,23.66,0
2019-07-01,10,03STG-115,1011.67,984.23,27.44,0
2019-07-01,11,03STG-115,1451.16,1412.64,38.52,0
2019-07-01,12,03STG-115,1637.89,1589.76,48.13,0
2019-07-01,13,03STG-115,1835.41,1784.42,50.99,0
2019-07-01,14,03STG-115,2001.67,1942.74,58.93,0
2019-07-01,15,03STG-115,1861.17,1816.94,44.23,0
2019-07-01,16,03STG-115,2029.8,1984.01,45.79,0
2019-07-01,17,03STG-115,2009.71,1973.43,36.28,0
2019-07-01,18,03STG-115,1937.77,1899.84,37.93,0
2019-07-01,19,03STG-115,1743.88,1713.56,30.33,0
2019-07-01,20,03STG-115,1733.97,1700.51,33.46,0
2019-07-01,21,03STG-115,1883.57,1851.96,31.61,0
2019-07-01,22,03STG-115,1939.47,1897.6,40.14,1.74
2019-07-01,23,03STG-115,1933.96,1894.55,38.19,1.22
2019-07-01,24,03STG-115,1884.55,1857.64,26.91,0
2019-07-01,1,04PLD-230,1406.87,1035.34,36.18,335.35
2019-07-01,2,04PLD-230,1024.52,834.1,23.1,167.33
2019-07-01,3,04PLD-230,1482.05,822.85,45.18,614.02
2019-07-01,4,04PLD-230,1361.39,788.14,18.43,554.82
2019-07-01,5,04PLD-230,955.87,681.26,-6.88,281.48
2019-07-01,6,04PLD-230,756.78,720.04,-17.38,54.11
2019-07-01,7,04PLD-230,731.47,763.9,-32.44,0
2019-07-01,8,04PLD-230,757.57,796.77,-39.21,0
2019-07-01,9,04PLD-230,462.55,819.37,-83.18,-273.65
2019-07-01,10,04PLD-230,127.51,984.23,-116.55,-740.17
2019-07-01,11,04PLD-230,1130.47,1412.64,-282.17,0
2019-07-01,12,04PLD-230,1320.22,1589.76,-269.54,0
2019-07-01,13,04PLD-230,1534.88,1784.42,-249.54,0
2019-07-01,14,04PLD-230,1754.72,1942.74,-188.02,0
2019-07-01,15,04PLD-230,1682.98,1816.94,-108.85,-25.11
2019-07-01,16,04PLD-230,1908.97,1984.01,-75.04,0
2019-07-01,17,04PLD-230,1901.39,1973.43,-72.04,0
2019-07-01,18,04PLD-230,1883.45,1899.84,-16.39,0
2019-07-01,19,04PLD-230,1725.88,1713.56,12.33,0
2019-07-01,20,04PLD-230,1706.01,1700.51,5.5,0
2019-07-01,21,04PLD-230,1839.82,1851.96,-12.14,0
2019-07-01,22,04PLD-230,2012.83,1897.6,70.94,44.29
2019-07-01,23,04PLD-230,2048.82,1894.55,123.29,30.97
2019-07-01,24,04PLD-230,2035.32,1857.64,177.69,0
2019-07-01,1,08CHS-34.5,1335.5,1035.34,304.91,-4.74
2019-07-01,2,08CHS-34.5,1064.3,834.1,232.57,-2.37
2019-07-01,3,08CHS-34.5,1037.05,822.85,224.18,-9.97
2019-07-01,4,08CHS-34.5,963.6,788.14,184.52,-9.05
