Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-03-01,1,03STG-115,2250.73,2132.61,6.48,111.65
2019-03-01,2,03STG-115,2156.15,2114.98,5.45,35.71
2019-03-01,3,03STG-115,1789.02,1742.84,2.34,43.83
2019-03-01,4,03STG-115,1806.67,1786.79,4.29,15.59
2019-03-01,5,03STG-115,1795.91,1776.98,.48,18.45
2019-03-01,6,03STG-115,2095.89,2085.09,3.69,7.11
2019-03-01,7,03STG-115,2142.61,2132.54,3.29,6.77
2019-03-01,8,03STG-115,1877.57,1719.07,-5.47,163.97
2019-03-01,9,03STG-115,1590.98,553.11,1.3,1036.57
2019-03-01,10,03STG-115,2129.27,1961.25,10.18,157.84
2019-03-01,11,03STG-115,2294.63,2288.7,19.32,-13.38
2019-03-01,12,03STG-115,2323.66,2340.73,21.53,-38.6
2019-03-01,13,03STG-115,2219.53,2225.82,23.23,-29.52
2019-03-01,14,03STG-115,2198.04,2198.53,24.26,-24.75
2019-03-01,15,03STG-115,2127.52,2136.64,18.42,-27.54
2019-03-01,16,03STG-115,2234.96,2249.69,20.76,-35.48
2019-03-01,17,03STG-115,2312.73,2332.77,17.31,-37.35
2019-03-01,18,03STG-115,2237.47,2248.87,12.24,-23.65
2019-03-01,19,03STG-115,1973.53,1874.25,6.46,92.82
2019-03-01,20,03STG-115,2299.23,2141.92,26,131.31
2019-03-01,21,03STG-115,2298.86,2146.88,28.16,123.83
2019-03-01,22,03STG-115,2319.07,2237.22,26.09,55.76
2019-03-01,23,03STG-115,2264.46,2208.99,17.72,37.75
2019-03-01,24,03STG-115,2166.54,1963.44,4.65,198.46
2019-03-01,1,04PLD-230,1100.28,2132.61,-843.17,-189.16
2019-03-01,2,04PLD-230,1134.83,2114.98,-735.08,-245.08
2019-03-01,3,04PLD-230,695.58,1742.84,-698.42,-348.85
2019-03-01,4,04PLD-230,719.71,1786.79,-688.36,-378.73
2019-03-01,5,04PLD-230,682.6,1776.98,-708.22,-386.16
2019-03-01,6,04PLD-230,1043.33,2085.09,-789.18,-252.58
2019-03-01,7,04PLD-230,1115.94,2132.54,-755.15,-261.46
2019-03-01,8,04PLD-230,799.1,1719.07,-634.31,-285.67
