Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-05-01,1,03STG-115,1805.8,1776.5,19.29,10.02
2019-05-01,2,03STG-115,1841.52,1822.28,19.24,0
2019-05-01,3,03STG-115,1805.01,1741.1,14.36,49.55
2019-05-01,4,03STG-115,1768.99,1706.12,15.01,47.85
2019-05-01,5,03STG-115,1750.94,1707.71,16.24,26.98
2019-05-01,6,03STG-115,1725.53,1688.99,17.36,19.18
2019-05-01,7,03STG-115,1761.72,1687.3,19.55,54.87
2019-05-01,8,03STG-115,1707.95,1659.31,25.02,23.62
2019-05-01,9,03STG-115,1715.05,1570.25,27.57,117.23
2019-05-01,10,03STG-115,1486,1251.18,29.93,204.89
2019-05-01,11,03STG-115,1745.07,1676.45,41.2,27.42
2019-05-01,12,03STG-115,1665.45,1497.66,32.51,135.28
2019-05-01,13,03STG-115,1690.01,1627.02,34.97,28.02
2019-05-01,14,03STG-115,1744.96,1650.43,35.37,59.17
2019-05-01,15,03STG-115,1798.12,1701.1,39.21,57.81
2019-05-01,16,03STG-115,1821.18,1721.29,37.55,62.34
2019-05-01,17,03STG-115,1882.6,1836.26,41.01,5.33
2019-05-01,18,03STG-115,1888.78,1786.8,42.13,59.85
2019-05-01,19,03STG-115,1927.1,1807.75,48.54,70.81
2019-05-01,20,03STG-115,2121.64,2080.07,41.57,0
2019-05-01,21,03STG-115,2093.85,2026.98,42.57,24.29
2019-05-01,22,03STG-115,2110.92,2025.34,47.09,38.49
2019-05-01,23,03STG-115,1999.6,1903.67,40.56,55.37
2019-05-01,24,03STG-115,2237.34,2193.97,43.47,-.09
2019-05-01,1,04PLD-230,2104.04,1776.5,-66.88,394.42
2019-05-01,2,04PLD-230,1717.66,1822.28,-104.62,0
2019-05-01,3,04PLD-230,1808.38,1741.1,-175.05,242.33
2019-05-01,4,04PLD-230,1566.26,1706.12,-187.57,47.7
2019-05-01,5,04PLD-230,1251.18,1707.71,-198.9,-257.64
2019-05-01,6,04PLD-230,1156.76,1688.99,-197.91,-334.32
2019-05-01,7,04PLD-230,1397.31,1687.3,-132.82,-157.17
2019-05-01,8,04PLD-230,1297.85,1659.31,-161.2,-200.26
2019-05-01,9,04PLD-230,1276.09,1570.25,-279.56,-14.61
2019-05-01,10,04PLD-230,182.7,1251.18,-333.89,-734.6
2019-05-01,11,04PLD-230,251.25,1676.45,-497.21,-927.99
2019-05-01,12,04PLD-230,260.6,1497.66,-432.05,-805.01
2019-05-01,13,04PLD-230,218.56,1627.02,-453.68,-954.79
2019-05-01,14,04PLD-230,204.22,1650.43,-446.01,-1000.21
2019-05-01,15,04PLD-230,205.04,1701.1,-432.93,-1063.12
2019-05-01,16,04PLD-230,223.44,1721.29,-407.6,-1090.25
2019-05-01,17,04PLD-230,757.65,1836.26,-371.86,-706.75
2019-05-01,18,04PLD-230,1591.19,1786.8,-340.33,144.71
2019-05-01,19,04PLD-230,1527.73,1807.75,-319.82,39.8
2019-05-01,20,04PLD-230,1771.2,2080.07,-308.87,0
2019-05-01,21,04PLD-230,1888.5,2026.98,-137.01,-1.47
2019-05-01,22,04PLD-230,2043.61,2025.34,-11.22,29.49
2019-05-01,23,04PLD-230,1931.69,1903.67,-14.77,42.79
2019-05-01,24,04PLD-230,2143.82,2193.97,-44.5,-5.65
2019-05-01,1,08CHS-34.5,2957.86,1776.5,537.75,643.62
2019-05-01,2,08CHS-34.5,2402.56,1822.28,580.28,0
2019-05-01,3,08CHS-34.5,2696.43,1741.1,617.84,337.49
2019-05-01,4,08CHS-34.5,2959.22,1706.12,560.3,692.8
2019-05-01,5,08CHS-34.5,2664.52,1707.71,571.59,385.22
2019-05-01,6,08CHS-34.5,2650.91,1688.99,546.77,415.15
2019-05-01,7,08CHS-34.5,2709.87,1687.3,550.27,472.31
2019-05-01,8,08CHS-34.5,2492.09,1659.31,532.99,299.8
2019-05-01,9,08CHS-34.5,2573.62,1570.25,547.56,455.81
2019-05-01,10,08CHS-34.5,2614.45,1251.18,433.6,929.67
2019-05-01,11,08CHS-34.5,2308.2,1676.45,642.51,-10.76
2019-05-01,12,08CHS-34.5,2678.9,1497.66,550.13,631.11
2019-05-01,13,08CHS-34.5,2704.53,1627.02,604.16,473.34
2019-05-01,14,08CHS-34.5,2605.99,1650.43,583.92,371.65
2019-05-01,15,08CHS-34.5,2646.76,1701.1,582.53,363.13
2019-05-01,16,08CHS-34.5,2662.67,1721.29,594.16,347.22
2019-05-01,17,08CHS-34.5,2412.77,1836.26,578.34,-1.83
2019-05-01,18,08CHS-34.5,2650.31,1786.8,586.75,276.76
2019-05-01,19,08CHS-34.5,2842.98,1807.75,626.48,408.75
2019-05-01,20,08CHS-34.5,2992.67,2080.07,751.18,161.42
2019-05-01,21,08CHS-34.5,3840,2026.98,663.06,1149.96
2019-05-01,22,08CHS-34.5,3946.25,2025.34,725.22,1195.7
2019-05-01,23,08CHS-34.5,4001.09,1903.67,657.2,1440.22
2019-05-01,24,08CHS-34.5,3612.91,2193.97,816.59,602.35
2019-05-02,1,03STG-115,2474.17,2420.33,53.84,0
2019-05-02,2,03STG-115,2451.92,2397.5,54.42,0
2019-05-02,3,03STG-115,2038.34,1991.22,37.56,9.56
2019-05-02,4,03STG-115,1828.4,1796.22,32.41,-.23
2019-05-02,5,03STG-115,1794.07,1764.03,30.26,-.22
2019-05-02,6,03STG-115,1919.66,1866.75,30.8,22.11
2019-05-02,7,03STG-115,2487.47,2442.48,44.99,0
2019-05-02,8,03STG-115,2502.89,2466.32,36.42,.15
2019-05-02,9,03STG-115,2368.38,2328.94,39.41,.03
2019-05-02,10,03STG-115,2512.73,2465.75,46.98,0
2019-05-02,11,03STG-115,2231.24,2187.9,43.34,0
2019-05-02,12,03STG-115,2214.15,2168.05,46.1,0
2019-05-02,13,03STG-115,2361.61,2307.07,54.54,0
2019-05-02,14,03STG-115,2545.04,2482.03,63,0
2019-05-02,15,03STG-115,3033.6,2961.6,72.01,0
2019-05-02,16,03STG-115,2537.48,2476.08,61.4,0
2019-05-02,17,03STG-115,2510.86,2458.07,52.78,0
2019-05-02,18,03STG-115,2382.16,2328.59,53.7,-.14
