Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-11-01,1,03STG-115,1798.87,1800.34,-16.93,15.46
2018-11-01,2,03STG-115,1796.18,1804.04,-19.16,11.3
2018-11-01,3,03STG-115,1984.04,1956.7,-9.35,36.69
2018-11-01,4,03STG-115,1967.02,1938.89,-13.22,41.35
2018-11-01,5,03STG-115,2241.17,2199.81,-8.97,50.33
2018-11-01,6,03STG-115,2263.72,2215.44,-3.89,52.17
2018-11-01,7,03STG-115,2372.14,2321.75,-3.9,54.29
2018-11-01,8,03STG-115,2381.91,2326.06,1.8,54.05
2018-11-01,9,03STG-115,3837.75,3731.99,7.21,98.55
2018-11-01,10,03STG-115,2197.81,2203.22,6.16,-11.57
2018-11-01,11,03STG-115,1980.23,1789.39,4.77,186.07
2018-11-01,12,03STG-115,1876.89,1672.13,5.05,199.71
2018-11-01,13,03STG-115,2057.9,2039.09,5.4,13.4
2018-11-01,14,03STG-115,1843.41,1581.74,6.53,255.15
2018-11-01,15,03STG-115,2280.34,2256.76,10.02,13.56
2018-11-01,16,03STG-115,2057.2,1916.54,6.17,134.5
2018-11-01,17,03STG-115,1809.55,1530.67,1.28,277.6
2018-11-01,18,03STG-115,1475.68,-.01,0,1475.69
2018-11-01,19,03STG-115,1480.29,-.01,0,1480.3
2018-11-01,20,03STG-115,1978.79,1671.55,7.5,299.74
2018-11-01,21,03STG-115,2365.62,2403.38,13.33,-51.09
2018-11-01,22,03STG-115,2319.95,2293.14,6.7,20.11
2018-11-01,23,03STG-115,1719.85,1390.64,-3.3,332.51
2018-11-01,24,03STG-115,2205.55,2173.02,-12.31,44.84
2018-11-01,1,04PLD-230,472.64,1800.34,-466.05,-861.66
2018-11-01,2,04PLD-230,526.3,1804.04,-455.8,-821.94
2018-11-01,3,04PLD-230,371.57,1956.7,-442.3,-1142.83
2018-11-01,4,04PLD-230,340.66,1938.89,-426.31,-1171.93
2018-11-01,5,04PLD-230,336.79,2199.81,-461.16,-1401.87
2018-11-01,6,04PLD-230,319.51,2215.44,-461.05,-1434.88
2018-11-01,7,04PLD-230,328.33,2321.75,-486.13,-1507.3
2018-11-01,8,04PLD-230,325.55,2326.06,-498.01,-1502.5
2018-11-01,9,04PLD-230,394.67,3731.99,-598.94,-2738.38
2018-11-01,10,04PLD-230,274.46,2203.22,-450.24,-1478.53
2018-11-01,11,04PLD-230,364.79,1789.39,-330.44,-1094.16
2018-11-01,12,04PLD-230,575.36,1672.13,-311.27,-785.5
2018-11-01,13,04PLD-230,720.92,2039.09,-419.79,-898.39
2018-11-01,14,04PLD-230,695.6,1581.74,-327.39,-558.75
2018-11-01,15,04PLD-230,873.71,2256.76,-430.18,-952.87
2018-11-01,16,04PLD-230,724.88,1916.54,-394.46,-797.2
2018-11-01,17,04PLD-230,593.41,1530.67,-359.71,-577.55
2018-11-01,18,04PLD-230,1118.71,-.01,0,1118.72
2018-11-01,19,04PLD-230,1180.97,-.01,0,1180.98
2018-11-01,20,04PLD-230,1572.25,1671.55,-425.65,326.35
2018-11-01,21,04PLD-230,1849.07,2403.38,-499.85,-54.46
2018-11-01,22,04PLD-230,1572.03,2293.14,-431.99,-289.13
2018-11-01,23,04PLD-230,442.6,1390.64,-295.94,-652.1
2018-11-01,24,04PLD-230,452.34,2173.02,-412.93,-1307.75
2018-11-01,1,08CHS-34.5,2667.73,1800.34,574.53,292.86
2018-11-01,2,08CHS-34.5,2504.29,1804.04,554.28,145.97
2018-11-01,3,08CHS-34.5,2850.99,1956.7,570.53,323.76
2018-11-01,4,08CHS-34.5,2429.32,1938.89,536.3,-45.86
2018-11-01,5,08CHS-34.5,2743.47,2199.81,599.46,-55.79
2018-11-01,6,08CHS-34.5,2747.37,2215.44,589.74,-57.81
2018-11-01,7,08CHS-34.5,2864.88,2321.75,587.78,-44.65
2018-11-01,8,08CHS-34.5,2898.07,2326.06,631.94,-59.93
2018-11-01,9,08CHS-34.5,4727.12,3731.99,1104.35,-109.22
2018-11-01,10,08CHS-34.5,3145.2,2203.22,704.6,237.38
2018-11-01,11,08CHS-34.5,2873.26,1789.39,605.75,478.12
2018-11-01,12,08CHS-34.5,2699.73,1672.13,575.48,452.12
2018-11-01,13,08CHS-34.5,2684.69,2039.09,695.18,-49.58
2018-11-01,14,08CHS-34.5,2719.19,1581.74,537.33,600.12
2018-11-01,15,08CHS-34.5,2840.83,2256.76,693.75,-109.67
2018-11-01,16,08CHS-34.5,2769.32,1916.54,616.64,236.15
2018-11-01,17,08CHS-34.5,3121.22,1530.67,475.1,1115.45
2018-11-01,18,08CHS-34.5,4164.84,-.01,0,4164.86
2018-11-01,19,08CHS-34.5,4170.69,-.01,0,4170.7
2018-11-01,20,08CHS-34.5,3250.49,1671.55,486.03,1092.92
2018-11-01,21,08CHS-34.5,3838.5,2403.38,732.76,702.36
2018-11-01,22,08CHS-34.5,3603.16,2293.14,735.99,574.03
2018-11-01,23,08CHS-34.5,3162.07,1390.64,479.93,1291.5
2018-11-01,24,08CHS-34.5,2963.84,2173.02,750.55,40.27
2018-11-02,1,03STG-115,1662.78,1651.69,-13.6,24.7
2018-11-02,2,03STG-115,1822.06,1790.32,-12.94,44.68
2018-11-02,3,03STG-115,1626.21,1605.79,-9.89,30.31
2018-11-02,4,03STG-115,1798.79,1765.79,-9.8,42.81
2018-11-02,5,03STG-115,1538.94,1515.24,-9.19,32.89
2018-11-02,6,03STG-115,1608.27,1582.28,-7.04,33.03
2018-11-02,7,03STG-115,1636.51,1617.68,-.63,19.46
2018-11-02,8,03STG-115,1627.57,1596.82,1.14,29.62
2018-11-02,9,03STG-115,1849.17,1812.96,8.98,27.24
2018-11-02,10,03STG-115,1856.61,1829.72,10.19,16.7
2018-11-02,11,03STG-115,1456.04,1439.89,5.16,10.99
2018-11-02,12,03STG-115,1189.98,1180.32,2.55,7.11
2018-11-02,13,03STG-115,1212.47,1202.14,3.03,7.3
2018-11-02,14,03STG-115,1464.56,1450.79,3.77,10
2018-11-02,15,03STG-115,1197.11,1190.6,-.6,7.11
2018-11-02,16,03STG-115,1032.9,1032.58,.31,0
2018-11-02,17,03STG-115,976.77,977.8,-1.03,0
2018-11-02,18,03STG-115,1095.74,1098.3,-2.56,0
2018-11-02,19,03STG-115,1570.47,1565.05,5.42,0
2018-11-02,20,03STG-115,1525.62,1518.29,8.31,-.99
2018-11-02,21,03STG-115,1182.63,1176.71,5.92,0
2018-11-02,22,03STG-115,1021.99,1016.61,5.38,0
2018-11-02,23,03STG-115,918.24,915.31,2.93,0
2018-11-02,24,03STG-115,753.26,752.67,.58,0
2018-11-02,1,04PLD-230,431.53,1651.69,-340.09,-880.07
2018-11-02,2,04PLD-230,343.99,1790.32,-373.1,-1073.23
2018-11-02,3,04PLD-230,325.26,1605.79,-340.74,-939.8
2018-11-02,4,04PLD-230,311.46,1765.79,-357.29,-1097.04
2018-11-02,5,04PLD-230,303.53,1515.24,-331.67,-880.04
2018-11-02,6,04PLD-230,313.26,1582.28,-352.47,-916.55
