Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2019-10-16,1,03STG-115,1075.5,1061.39,14.11,0
2019-10-16,2,03STG-115,921.75,910.32,11.43,0
2019-10-16,3,03STG-115,800.97,792.17,8.81,0
2019-10-16,4,03STG-115,771.96,761.56,9.51,.89
2019-10-16,5,03STG-115,808.93,802.47,6.46,0
2019-10-16,6,03STG-115,909.97,903.1,6.87,0
2019-10-16,7,03STG-115,1015.12,1005.23,9.89,0
2019-10-16,8,03STG-115,1094.82,1083.21,11.6,0
2019-10-16,9,03STG-115,1200.04,1185.03,11.47,3.54
2019-10-16,10,03STG-115,1084.66,1072.31,11.44,.91
2019-10-16,11,03STG-115,1243.67,1244.13,12.85,-13.31
2019-10-16,12,03STG-115,1272.83,1266.65,13.87,-7.69
2019-10-16,13,03STG-115,1288.57,1266.18,18.16,4.23
2019-10-16,14,03STG-115,1083,1065.66,16.54,.8
2019-10-16,15,03STG-115,1057.5,1030.94,23.88,2.68
2019-10-16,16,03STG-115,1146.5,1122.49,24.5,-.49
2019-10-16,17,03STG-115,1239.59,1211.34,32.21,-3.96
2019-10-16,18,03STG-115,1080.83,1062.27,26.01,-7.44
2019-10-16,19,03STG-115,1138.85,1101.18,25.63,12.03
2019-10-16,20,03STG-115,1397.39,1351.88,29.77,15.74
2019-10-16,21,03STG-115,1348.34,1292.29,34.2,21.86
2019-10-16,22,03STG-115,1226.17,1178.92,28.01,19.24
2019-10-16,23,03STG-115,1080.86,1065.12,21.61,-5.87
2019-10-16,24,03STG-115,1067.3,1034.13,17.14,16.04
2019-10-16,1,04PLD-230,939.64,1061.39,-121.75,0
2019-10-16,2,04PLD-230,786.44,910.32,-123.88,0
2019-10-16,3,04PLD-230,672.12,792.17,-120.05,0
2019-10-16,4,04PLD-230,613.92,761.56,-135.23,-12.41
2019-10-16,5,04PLD-230,380.94,802.47,-127.38,-294.15
2019-10-16,6,04PLD-230,379,903.1,-149.64,-374.45
2019-10-16,7,04PLD-230,380.58,1005.23,-170.73,-453.92
2019-10-16,8,04PLD-230,389.77,1083.21,-175.78,-517.67
2019-10-16,9,04PLD-230,383.97,1185.03,-197.76,-603.3
2019-10-16,10,04PLD-230,245.6,1072.31,-231.2,-595.52
2019-10-16,11,04PLD-230,149.09,1244.13,-336.65,-758.4
2019-10-16,12,04PLD-230,130.45,1266.65,-349.12,-787.08
2019-10-16,13,04PLD-230,141.31,1266.18,-343.1,-781.78
2019-10-16,14,04PLD-230,256.69,1065.66,-298.32,-510.66
2019-10-16,15,04PLD-230,284.07,1030.94,-260.56,-486.31
2019-10-16,16,04PLD-230,405.3,1122.49,-290.29,-426.9
2019-10-16,17,04PLD-230,433.48,1211.34,-316.52,-461.35
2019-10-16,18,04PLD-230,722.36,1062.27,-284.09,-55.82
2019-10-16,19,04PLD-230,624.1,1101.18,-242.56,-234.52
2019-10-16,20,04PLD-230,765.96,1351.88,-257.73,-328.19
2019-10-16,21,04PLD-230,762.15,1292.29,-228.74,-301.4
2019-10-16,22,04PLD-230,547.58,1178.92,-226.19,-405.15
2019-10-16,23,04PLD-230,518.2,1065.12,-222.48,-324.44
2019-10-16,24,04PLD-230,528.81,1034.13,-187.67,-317.64
2019-10-16,1,08CHS-34.5,1405.12,1061.39,343.73,0
2019-10-16,2,08CHS-34.5,1194.22,910.32,283.9,0
2019-10-16,3,08CHS-34.5,1160.85,792.17,279.55,89.14
2019-10-16,4,08CHS-34.5,1160.44,761.56,264.74,134.14
2019-10-16,5,08CHS-34.5,1157.44,802.47,273.32,81.65
2019-10-16,6,08CHS-34.5,1174.54,903.1,271.45,0
2019-10-16,7,08CHS-34.5,1259.66,1005.23,254.43,0
2019-10-16,8,08CHS-34.5,1347.35,1083.21,264.14,0
2019-10-16,9,08CHS-34.5,1475.93,1185.03,295.96,-5.07
2019-10-16,10,08CHS-34.5,1506.29,1072.31,283.63,150.34
2019-10-16,11,08CHS-34.5,1618.25,1244.13,339.64,34.47
2019-10-16,12,08CHS-34.5,1595.27,1266.65,332.59,-3.97
2019-10-16,13,08CHS-34.5,1594.41,1266.18,345.55,-17.32
2019-10-16,14,08CHS-34.5,1346.55,1065.66,280.99,-.09
2019-10-16,15,08CHS-34.5,1294.65,1030.94,264.54,-.82
2019-10-16,16,08CHS-34.5,1450.14,1122.49,332.23,-4.58
2019-10-16,17,08CHS-34.5,1564.54,1211.34,358.51,-5.31
2019-10-16,18,08CHS-34.5,1373.99,1062.27,308.91,2.81
2019-10-16,19,08CHS-34.5,1405.34,1101.18,324.76,-20.6
2019-10-16,20,08CHS-34.5,1733.94,1351.88,410.17,-28.11
2019-10-16,21,08CHS-34.5,1647.24,1292.29,378.65,-23.69
2019-10-16,22,08CHS-34.5,1776.78,1178.92,364.15,233.71
2019-10-16,23,08CHS-34.5,1500.63,1065.12,363.76,71.76
2019-10-16,24,08CHS-34.5,1479.25,1034.13,352.51,92.61
2019-10-17,1,03STG-115,873.55,849.46,12.71,11.39
2019-10-17,2,03STG-115,777.26,757.86,10.31,9.09
2019-10-17,3,03STG-115,732.95,714.22,10.96,7.77
2019-10-17,4,03STG-115,747.84,729.09,10.72,8.04
2019-10-17,5,03STG-115,755.84,736.9,10.68,8.25
2019-10-17,6,03STG-115,824.4,802.69,11.96,9.76
2019-10-17,7,03STG-115,942.5,916.42,17.41,8.66
2019-10-17,8,03STG-115,1034.08,995.56,26.43,12.09
2019-10-17,9,03STG-115,1017.88,998.19,28.36,-8.67
2019-10-17,10,03STG-115,1127.01,1071.93,33.02,22.07
2019-10-17,11,03STG-115,1118.16,1066.64,29.66,21.85
2019-10-17,12,03STG-115,1055.21,1021.02,27.5,6.69
2019-10-17,13,03STG-115,1051.2,1020.09,23.31,7.8
2019-10-17,14,03STG-115,1051.91,1020.41,25.16,6.34
2019-10-17,15,03STG-115,1060.72,1029.77,26.75,4.2
2019-10-17,16,03STG-115,1048.74,1006.29,23.26,19.18
2019-10-17,17,03STG-115,1061.7,1016.04,23.14,22.53
2019-10-17,18,03STG-115,1045.91,1003.4,22.29,20.21
2019-10-17,19,03STG-115,1064.85,1039.37,25.48,0
2019-10-17,20,03STG-115,1256.65,1210.63,33.89,12.12
2019-10-17,21,03STG-115,1165.6,1123.18,33.38,9.05
2019-10-17,22,03STG-115,1094.75,1056.38,30.59,7.77
2019-10-17,23,03STG-115,1070.09,1034.05,26.63,9.42
2019-10-17,24,03STG-115,1050.77,1011.93,20.86,17.98
2019-10-17,1,04PLD-230,526.95,849.46,-165.49,-157.02
2019-10-17,2,04PLD-230,477.09,757.86,-155.4,-125.37
2019-10-17,3,04PLD-230,462.19,714.22,-142.98,-109.06
2019-10-17,4,04PLD-230,404.22,729.09,-104.33,-220.55
2019-10-17,5,04PLD-230,383.11,736.9,-105.22,-248.58
2019-10-17,6,04PLD-230,323.88,802.69,-89.71,-389.11
2019-10-17,7,04PLD-230,317.45,916.42,-103.49,-495.48
2019-10-17,8,04PLD-230,328.13,995.56,-105.47,-561.95
2019-10-17,9,04PLD-230,453.26,998.19,-102.1,-442.83
2019-10-17,10,04PLD-230,280.51,1071.93,-90.72,-700.7
2019-10-17,11,04PLD-230,180.51,1066.64,-159.18,-726.95
2019-10-17,12,04PLD-230,87.7,1021.02,-154.06,-779.27
2019-10-17,13,04PLD-230,296.8,1020.09,-174.64,-548.66
2019-10-17,14,04PLD-230,417.99,1020.41,-157.77,-444.65
2019-10-17,15,04PLD-230,929.58,1029.77,-149.69,49.5
2019-10-17,16,04PLD-230,1336.64,1006.29,-105.62,435.97
2019-10-17,17,04PLD-230,1593.45,1016.04,-108.03,685.45
2019-10-17,18,04PLD-230,1257.5,1003.4,-133.71,387.82
2019-10-17,19,04PLD-230,944.84,1039.37,-94.53,0
2019-10-17,20,04PLD-230,2024.89,1210.63,144.67,669.59
2019-10-17,21,04PLD-230,1532.56,1123.18,94.93,314.46
2019-10-17,22,04PLD-230,1400.88,1056.38,80.14,264.35
2019-10-17,23,04PLD-230,1272,1034.05,84.49,153.47
2019-10-17,24,04PLD-230,1368.43,1011.93,63.39,293.1
2019-10-17,1,08CHS-34.5,1326.09,849.46,295.27,181.37
2019-10-17,2,08CHS-34.5,1054.85,757.86,267.75,29.25
2019-10-17,3,08CHS-34.5,1043.81,714.22,245.99,83.59
2019-10-17,4,08CHS-34.5,1046.95,729.09,245.33,72.53
2019-10-17,5,08CHS-34.5,1042.84,736.9,246,59.94
2019-10-17,6,08CHS-34.5,1046.96,802.69,258.27,-13.99
2019-10-17,7,08CHS-34.5,1147.47,916.42,243.47,-12.43
2019-10-17,8,08CHS-34.5,1219.34,995.56,241.13,-17.34
2019-10-17,9,08CHS-34.5,1221.62,998.19,220.94,2.49
2019-10-17,10,08CHS-34.5,1346.17,1071.93,249.96,24.28
2019-10-17,11,08CHS-34.5,1367.82,1066.64,273.28,27.9
2019-10-17,12,08CHS-34.5,1310.78,1021.02,253.47,36.29
2019-10-17,13,08CHS-34.5,1292.11,1020.09,274.78,-2.77
2019-10-17,14,08CHS-34.5,1921.26,1020.41,268.81,632.04
2019-10-17,15,08CHS-34.5,1290.92,1029.77,262.65,-1.49
2019-10-17,16,08CHS-34.5,1270.59,1006.29,266.96,-2.66
2019-10-17,17,08CHS-34.5,1373.62,1016.04,278.78,78.81
2019-10-17,18,08CHS-34.5,1284.95,1003.4,284.47,-2.92
2019-10-17,19,08CHS-34.5,1338.91,1039.37,299.54,0
2019-10-17,20,08CHS-34.5,1534.75,1210.63,328.22,-4.1
2019-10-17,21,08CHS-34.5,1451.77,1123.18,296.46,32.14
2019-10-17,22,08CHS-34.5,1633.39,1056.38,279.03,297.97
2019-10-17,23,08CHS-34.5,1628.93,1034.05,293.72,301.16
2019-10-17,24,08CHS-34.5,1374.23,1011.93,297.47,64.83
2019-10-18,1,03STG-115,1022.85,1005.97,16.88,0
2019-10-18,2,03STG-115,972.51,956.04,16.47,0
2019-10-18,3,03STG-115,883.12,869.86,13.26,0
2019-10-18,4,03STG-115,800.12,787.37,12.75,0
2019-10-18,5,03STG-115,804.93,793.2,11.72,0
2019-10-18,6,03STG-115,943.56,929.27,14.29,0
2019-10-18,7,03STG-115,1013.38,993.31,20.08,0
2019-10-18,8,03STG-115,1059.82,1031.17,28.65,0
2019-10-18,9,03STG-115,1048.82,1019.62,27.92,1.28
2019-10-18,10,03STG-115,1049.24,1006.09,31.48,11.67
2019-10-18,11,03STG-115,1105.71,1058.8,33.17,13.75
2019-10-18,12,03STG-115,1054.41,1017.72,25.26,11.43
2019-10-18,13,03STG-115,1046.5,1009.31,26.15,11.04
2019-10-18,14,03STG-115,1054.94,1016.46,25.72,12.76
2019-10-18,15,03STG-115,1081.8,1043.11,26.67,12.01
2019-10-18,16,03STG-115,1050.48,1012.37,26.28,11.83
2019-10-18,17,03STG-115,1045.48,1008.9,26.49,10.1
2019-10-18,18,03STG-115,1096.46,1052.54,31.89,12.03
2019-10-18,19,03STG-115,1065.03,1030.47,30.94,3.62
2019-10-18,20,03STG-115,1119.37,1082.67,36.7,0
2019-10-18,21,03STG-115,1129.97,1091.2,38.77,0
2019-10-18,22,03STG-115,1096.34,1061.03,35.31,0
2019-10-18,23,03STG-115,1069.72,1039.73,29.99,0
2019-10-18,24,03STG-115,1022.32,999.43,22.9,0
2019-10-18,1,04PLD-230,1062.44,1005.97,56.47,0
2019-10-18,2,04PLD-230,952.51,956.04,-3.53,0
2019-10-18,3,04PLD-230,838.37,869.86,-31.49,0
2019-10-18,4,04PLD-230,736.54,787.37,-50.83,0
