Fecha,Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
2018-09-16,1,03STG-115,1006.77,993.39,13.38,0
2018-09-16,2,03STG-115,626.41,619.44,6.97,0
2018-09-16,3,03STG-115,595.51,589.68,5.76,.06
2018-09-16,4,03STG-115,583.28,581.44,1.73,.11
2018-09-16,5,03STG-115,575.83,575.54,.29,0
2018-09-16,6,03STG-115,569.12,568.72,.4,0
2018-09-16,7,03STG-115,558.61,558.52,.09,0
2018-09-16,8,03STG-115,554.75,553.79,.96,0
2018-09-16,9,03STG-115,553.2,551.13,1.72,.35
2018-09-16,10,03STG-115,570.73,566.32,3.3,1.11
2018-09-16,11,03STG-115,564.62,560.27,3.5,.85
2018-09-16,12,03STG-115,587.16,580.29,5.44,1.43
2018-09-16,13,03STG-115,580.14,573.98,4.8,1.36
2018-09-16,14,03STG-115,578.98,573.1,5.88,0
2018-09-16,15,03STG-115,579.75,574.32,5.44,0
2018-09-16,16,03STG-115,596.46,588.76,7.71,0
2018-09-16,17,03STG-115,763.94,755.78,8.16,0
2018-09-16,18,03STG-115,801.52,793.5,8.01,0
2018-09-16,19,03STG-115,797.44,790.94,6.51,0
2018-09-16,20,03STG-115,1025.86,1016.9,8.97,0
2018-09-16,21,03STG-115,1534.01,1516.09,17.91,0
2018-09-16,22,03STG-115,1528.6,1513.43,15.16,0
2018-09-16,23,03STG-115,1098.7,1089.26,9.44,0
2018-09-16,24,03STG-115,980.34,973.34,7,0
2018-09-16,1,04PLD-230,890.98,993.39,-102.41,0
2018-09-16,2,04PLD-230,552.66,619.44,-66.78,0
2018-09-16,3,04PLD-230,545.41,589.68,-44.63,.35
2018-09-16,4,04PLD-230,508.49,581.44,-73.37,.42
2018-09-16,5,04PLD-230,497.92,575.54,-77.62,0
2018-09-16,6,04PLD-230,487.12,568.72,-80.99,-.61
2018-09-16,7,04PLD-230,480.96,558.52,-77.57,0
2018-09-16,8,04PLD-230,481.11,553.79,-72.68,0
2018-09-16,9,04PLD-230,454.16,551.13,-90.23,-6.74
2018-09-16,10,04PLD-230,449.25,566.32,-100.87,-16.2
