Obtaining average intraday spreads for all nodes: 
Sorting dictionary
Number of nodes:  2404
Top 5
('04ECC-400', 2076.054720812183) 197
('08KEK-115', 2058.27) 653
('08KHN-115', 2034.2782978723405) 611
('08COZ-34.5', 1896.8844570928195) 1142
('08CHB-34.5', 1892.9137740805602) 1142
('08CHS-34.5', 1889.7876619964973) 1142
('08UCU-115', 1865.6820214395098) 653
('08PLY-115', 1818.2684413309983) 1142
('08CLC-115', 1818.1177232924695) 1142
('08AVP-115', 1818.0531173380034) 1142
('08AUC-115', 1818.0055604203153) 1142
('08AKD-115', 1817.3475218914184) 1142
('08ZNE-115', 1817.1708581436078) 1142
('08MYK-115', 1816.6099124343257) 1142
('08PCN-115', 1815.1810157618213) 1142
('08IBR-115', 1813.9244483362525) 1142
('08XLC-115', 1813.6407443082312) 1142
('08TUM-115', 1800.8741330998248) 1142
('08PMO-115', 1795.0734238178634) 1142
('08MPA-115', 1791.1547635726797) 1142
('08HBK-115', 1790.1300437828372) 1142
('08PKP-115', 1789.959982486865) 1142
('08KAB-115', 1789.9360945709282) 1142
('08NCT-115', 1789.3126619964971) 1142
('08HAA-115', 1789.160866900175) 1142
('08YXE-115', 1787.9575831873906) 1142
('08CEK-115', 1787.9575656742556) 1142
('08BNP-115', 1787.94438704028) 1142
('08CNC-115', 1787.529956217163) 1142
('08KUK-115', 1787.3934938704028) 1142
('08BNI-115', 1787.2690017513135) 1142
('08PMU-115', 1787.1157092819615) 1142
('08NIH-115', 1786.9403064798598) 1142
('08PJU-115', 1786.542714535902) 1142
('08PSA-115', 1786.3371541155868) 1142
('08NIZ-115', 1782.7535026269704) 1142
('08BEL-115', 1774.5283979974968) 799
('08HOP-115', 1765.8679677819086) 807
('08IXC-115', 1760.2157575757576) 462
('08PPH-115', 1757.8225656742559) 1142
('08CCP-115', 1751.2393717816685) 971
('08CEX-115', 1725.6888616462347) 1142
('08KBL-115', 1695.743493870403) 1142
('08PYU-115', 1695.1917950963223) 1142
('08TZM-115', 1688.221173380035) 1142
('08TXM-115', 1687.1416725043782) 1142
('08TKD-115', 1686.8687740805606) 1142
('08SUC-115', 1685.4433187390543) 1142
('08LTE-115', 1684.7244308231175) 1142
('08CNR-115', 1684.7061646234677) 1142
('08CRE-115', 1684.0757880910683) 1142
('08MHH-115', 1682.9723555166374) 1142
('08LAC-115', 1680.6860245183886) 1142
('08SDM-115', 1677.5449562171627) 1142
('08TXS-115', 1676.2528721541157) 1142
('08CTE-115', 1676.0870753064798) 1142
('08INS-115', 1675.4463835376532) 1142
('08SAE-115', 1673.3712171628722) 1142
('08KOP-115', 1672.0485113835375) 1142
('08PMR-115', 1670.9924518388793) 1142
('08DZI-115', 1670.0001488616463) 1142
('08VDD-115', 1669.6788879159371) 1142
('08VAD-115', 1669.0722942206655) 1142
('08IZL-115', 1668.9818038528895) 1142
('08XUL-115', 1667.6869614711034) 1142
('08VAD-230', 1666.607364273205) 1142
('08PPO-115', 1665.7298073555166) 1142
('08IGN-115', 1662.9836602451837) 1142
('08UMA-115', 1661.3497373029772) 1142
('08HOL-115', 1660.7941068301227) 1142
('08NCM-115', 1659.5791768826618) 1142
('08CNO-115', 1659.023187390543) 1142
('08IZE-115', 1657.718309982487) 1142
('08HNC-115', 1657.514816112084) 1142
('08MAX-115', 1656.8436514886166) 1142
('08SUR-115', 1656.4478108581436) 1142
('08MTO-115', 1656.1745971978985) 1142
('08CKD-115', 1655.4949562171628) 1142
('08CBR-115', 1655.1232224168123) 1142
('08IZI-115', 1655.115866900175) 1142
('08CMY-115', 1654.9808056042032) 1142
('08MDN-115', 1654.8049649737304) 1142
('08MDA-115', 1654.383047285464) 1142
('08ALO-115', 1653.2738616462348) 1142
('08NTE-115', 1652.3675481611208) 1142
('08PTE-115', 1652.3026357267952) 1142
('08LEE-115', 1649.0263835376531) 1142
('08SBY-115', 1648.055866900175) 1142
('08TIU-115', 1647.7864273204902) 1142
('08MDP-230', 1641.1656567425568) 1142
('08XPU-115', 1639.446978984238) 1142
('08CBU-115', 1638.5174343257445) 1142
('08HCE-115', 1637.5344570928196) 1142
('08AKI-115', 1635.72295971979) 1142
('08CMO-115', 1633.6233187390544) 1142
('08CYL-115', 1630.2543082311734) 1142
('08KAL-115', 1629.4610070052538) 1142
('08SHC-115', 1629.2739141856393) 1142
('08SAD-115', 1626.9611208406307) 1142
('08SAM-115', 1626.8362084063046) 1142
('08LRA-115', 1622.4863222416811) 1142
('08ESA-115', 1618.8442644483362) 1142
('08HRA-115', 1571.2951791530945) 614
('02LCJ-115', 1378.4572591943956) 1142
('05MRO-115', 1375.9019171779141) 652
('02CMU-115', 1370.451411764706) 680
('02TNQ-115', 1369.5225218914186) 1142
('02EZA-115', 1358.3137565674256) 1142
('02PLQ-115', 1352.0403415061296) 1142
('08SLC-230', 1349.7919702276708) 1142
('02ZPD-115', 1344.3333362521892) 1142
('02CNM-230', 1336.9477715355806) 534
('02CEM-115', 1325.5537390542909) 1142
('02ZOP-115', 1325.1344133099824) 1142
('02MCP-115', 1320.8704991243433) 1142
('02PCO-115', 1317.2299124343258) 1142
('02TPJ-115', 1317.0684500875657) 1142
('02FRT-115', 1315.4209807355514) 1142
('02SMJ-115', 1315.353353765324) 1142
('02TCT-115', 1315.104343257443) 1142
